hypothesis_id,ev_id,prediction,rationale
H001,EV007,+,Chamfers facilitate rod insertion and prevent binding
H002,EV007,-,Chamfered edges reduce gauge precision; not expected on measuring instrument
H003,EV007,0,Chamfers are not diagnostically relevant to ritual use
H004,EV007,+,Chamfered edges prevent candle damage during insertion
H005,EV007,++,Chamfered edges prevent yarn abrasion; strongly expected for textile use
H006,EV007,0,Edge treatment not relevant to astronomical use
H007,EV007,0,Edge treatment not relevant to military function
H008,EV007,0,Edge treatment not relevant to shrine use
H001,EV008,++,Knobs provide locking or spacer function; specific diameter is structurally meaningful
H002,EV008,0,Knob diameter is not required for measuring function
H003,EV008,+,Decorative knobs enhance prestige of ritual object
H004,EV008,+,Knobs could stabilise the object as a stand
H005,EV008,+,Knobs could serve as yarn guides or anchors
H006,EV008,0,Knob diameter not relevant to astronomical use
H007,EV008,0,Knob diameter not relevant to military function
H008,EV008,+,Decorative knobs are consistent with a prestige shrine object
H001,EV009,++,Symmetric knobs ensure isotropic structural behaviour under load
H002,EV009,+,Symmetric knobs support balanced orientation for measuring
H003,EV009,+,Symmetric form enhances aesthetic and ritual value
H004,EV009,+,Symmetry ensures stable resting position
H005,EV009,0,Knob symmetry not required for textile use
H006,EV009,++,Symmetric knobs allow any face to serve as reference plane for sighting
H007,EV009,0,Knob symmetry not required for military use
H008,EV009,+,Symmetric form is aesthetically expected for a shrine component
H001,EV010,+,Regular faces ensure consistent load distribution across connections
H002,EV010,++,"Precision instrument requires accurate, regular geometry"
H003,EV010,0,Face symmetry is not required for ritual use
H004,EV010,0,Face symmetry not required for candle use
H005,EV010,0,Face symmetry not required for textile use
H006,EV010,++,Accurate geometric form required for reliable astronomical sighting
H007,EV010,0,Face symmetry not required for military use
H008,EV010,0,Face symmetry not required for shrine use
H001,EV011,+,High-tin bronze is harder and stronger; appropriate for a load-bearing node
H002,EV011,0,Alloy composition not diagnostic for measuring function
H003,EV011,+,High-quality alloy is consistent with prestige ritual object
H004,EV011,0,Alloy composition not diagnostic for candle function
H005,EV011,0,Alloy composition not diagnostic for textile function
H006,EV011,0,Alloy composition not diagnostic for astronomical use
H007,EV011,+,"Military equipment uses durable, high-quality alloys"
H008,EV011,+,Prestige material is consistent with shrine component
H001,EV012,+,Structural integrity requires high casting quality
H002,EV012,++,Precision measuring instrument requires high casting quality
H003,EV012,+,Prestige ritual object expected to be well-cast
H004,EV012,0,Casting quality not strongly required for candle function
H005,EV012,0,Casting quality not strongly required for textile function
H006,EV012,++,Astronomical instrument requires precise casting
H007,EV012,+,Military equipment benefits from high quality
H008,EV012,+,Prestige shrine component expected to be well-cast
H001,EV013,-,Casting defects reduce structural integrity of a connector
H002,EV013,--,Any casting defect would invalidate measuring precision
H003,EV013,0,Minor defects are acceptable in ritual objects
H004,EV013,0,Minor defects do not affect candle-holding function
H005,EV013,0,Minor defects do not affect textile function
H006,EV013,--,Casting defects in sighting holes would invalidate astronomical use
H007,EV013,-,Defects reduce military equipment reliability
H008,EV013,0,Minor defects are acceptable in a shrine component
H001,EV014,0,Surface finishing not required for structural function
H002,EV014,+,Smooth finish reduces manufacturing tolerance errors in gauging
H003,EV014,+,Fine surface finish expected on prestige ritual objects
H004,EV014,0,Surface finish not required for candle function
H005,EV014,+,Smooth finish reduces yarn friction and wear
H006,EV014,+,Smooth finish reduces sighting error
H007,EV014,0,Surface finish not diagnostic for military function
H008,EV014,+,Fine finish expected on prestige shrine component
H001,EV015,+,A valued functional connector would be repaired rather than discarded
H002,EV015,+,A precision measuring tool would be repaired to preserve function
H003,EV015,+,A valuable ritual object would be repaired
H004,EV015,0,Candle holders are not typically repaired
H005,EV015,+,A working tool would be repaired to extend use-life
H006,EV015,+,A precision instrument would be repaired
H007,EV015,+,Military equipment is repaired in the field
H008,EV015,+,A valued shrine component would be repaired
H001,EV016,+,Secondary machining of holes refines rod fit in a structural connector
H002,EV016,++,Lathe-turned or drilled holes are expected for measuring precision
H003,EV016,0,Post-casting machining not required for ritual function
H004,EV016,0,Post-casting machining not required for candle function
H005,EV016,0,Post-casting machining not diagnostic for textile use
H006,EV016,++,Precise sighting holes require secondary machining
H007,EV016,0,Post-casting machining not diagnostic for military use
H008,EV016,0,Post-casting machining not diagnostic for shrine use
H001,EV017,++,Repeated rod insertion and removal produces diagnostic wear inside holes
H002,EV017,+,Gauge use produces wear inside holes from objects being measured
H003,EV017,-,Ritual object with minimal use would show little internal wear
H004,EV017,+,Candle insertion and removal produces internal wear
H005,EV017,++,Yarn passing continuously through holes produces strong internal wear
H006,EV017,0,Astronomical sighting produces no internal wear
H007,EV017,0,Military function does not predict internal hole wear
H008,EV017,-,Shrine component with minimal handling shows little internal wear
H001,EV018,+,Construction use produces external handling wear
H002,EV018,0,External wear not diagnostic for measuring function
H003,EV018,-,Ritual objects are typically handled carefully; low external wear expected
H004,EV018,0,External wear not diagnostic for candle function
H005,EV018,+,Textile tool in regular use shows external wear from handling
H006,EV018,0,External wear not diagnostic for astronomical use
H007,EV018,+,Military equipment in active use shows external wear
H008,EV018,-,Shrine component handled carefully; low external wear expected
H001,EV019,++,Ropes routed through holes or over knobs in a connector produce strong groove wear
H002,EV019,-,Rope wear would not result from measuring use
H003,EV019,0,Rope wear could occur from suspension in ritual contexts
H004,EV019,0,Rope wear is not expected for candle use
H005,EV019,+,Yarn routing over knobs or through holes could produce rope-like wear
H006,EV019,-,Rope wear is not expected from astronomical use
H007,EV019,0,Military use might involve rope but not diagnostically
H008,EV019,0,Shrine component might be suspended by rope but not diagnostically
H001,EV020,-,A structural node is not expected to rotate in service
H002,EV020,-,A measuring instrument is not expected to rotate
H003,EV020,0,Rotational wear could result from spinning ritual use
H004,EV020,+,A candle stand might be rotated for candle adjustment
H005,EV020,+,Textile use could involve rotation of the tool
H006,EV020,0,Astronomical use does not involve continuous rotation
H007,EV020,0,Military use does not predict rotational wear
H008,EV020,0,Shrine use does not predict rotational wear
H001,EV021,+,Construction-site use exposes connector to accidental impacts
H002,EV021,-,A precision measuring tool would be protected from impacts
H003,EV021,-,Ritual object protected from impacts
H004,EV021,0,Candle stand could sustain minor impacts
H005,EV021,0,Textile tool not expected to sustain significant impacts
H006,EV021,-,Precision instrument protected from impacts
H007,EV021,+,Military use in field conditions could produce impact damage
H008,EV021,-,Shrine component protected from impacts
H001,EV022,+,Construction use produces surface abrasion
H002,EV022,0,Abrasion not diagnostic for measuring use
H003,EV022,-,Ritual object not expected to show significant abrasion
H004,EV022,0,Abrasion not diagnostic for candle function
H005,EV022,+,Textile tool in regular use sustains abrasion
H006,EV022,0,Abrasion not diagnostic for astronomical use
H007,EV022,+,Military equipment in field use sustains abrasion
H008,EV022,-,Shrine component not expected to show significant abrasion
H001,EV023,--,Structural connector is not exposed to heat; thermal alteration is contradictory
H002,EV023,--,Measuring instrument would be ruined by thermal alteration
H003,EV023,+,"Ritual use may involve fire, incense or heat"
H004,EV023,++,Candle holder is in direct contact with flame; soot and wax strongly expected
H005,EV023,--,Textile tool is not exposed to heat; thermal alteration is contradictory
H006,EV023,--,Astronomical instrument not exposed to heat
H007,EV023,-,Military equipment not normally exposed to sustained heat
H008,EV023,+,Shrine component may be associated with ritual fire or candles
H001,EV024,0,Structural connector does not produce diagnostic chemical residues
H002,EV024,0,Measuring use does not produce diagnostic residues
H003,EV024,+,"Ritual use may leave incense, oil or other organic residues"
H004,EV024,++,Wax residues from candles are strongly expected
H005,EV024,+,Wool grease and fibre residues may survive in holes
H006,EV024,0,Astronomical use does not produce diagnostic residues
H007,EV024,0,Military use does not produce diagnostic chemical residues
H008,EV024,+,Ritual oils or incense residues may be present
H001,EV025,+,Structural connector expected at construction or settlement sites
H002,EV025,0,Measuring instrument could appear at any site type
H003,EV025,+,"Ritual object expected at temples, hoards, or votive deposits"
H004,EV025,+,Candle holder expected at domestic or villa sites
H005,EV025,+,"Textile tool expected at domestic, villa, or civilian settlement sites"
H006,EV025,+,Astronomical instrument expected at high-status or administrative sites
H007,EV025,++,Military equipment strongly expected at forts and military sites
H008,EV025,+,Shrine component expected at domestic or religious sites
H001,EV026,0,Structural connectors could appear across the empire; province is not diagnostic
H002,EV026,0,Measuring instruments could appear across the empire
H003,EV026,0,Ritual objects are not geographically constrained
H004,EV026,0,Candle holders are not geographically constrained
H005,EV026,+,North-western provinces had distinct textile traditions; some distribution clustering possible
H006,EV026,0,Astronomical instruments not geographically constrained
H007,EV026,+,"Military frontier provinces (Rhine, Danube, Britain) would concentrate military equipment"
H008,EV026,0,Shrine components not geographically constrained
H001,EV027,+,Associated construction materials or structural components would support this hypothesis
H002,EV027,+,Associated measuring instruments or surveying tools would support this hypothesis
H003,EV027,++,"Associated votive objects, coins, or ritual deposits would strongly support this"
H004,EV027,+,Associated lighting equipment would support candle use
H005,EV027,++,"Associated spindle whorls, needles, loom weights, or fibre remains strongly support textile use"
H006,EV027,+,Associated astronomical or mathematical instruments would support this hypothesis
H007,EV027,++,"Associated weapons, armour, or military equipment would strongly support this"
H008,EV027,++,"Associated religious objects, shrine fittings, or cult items strongly support this"
H001,EV028,0,Stratigraphic context is not strongly diagnostic for structural use
H002,EV028,0,Stratigraphic context is not strongly diagnostic for measuring use
H003,EV028,+,Votive deposit or destruction layer stratigraphy supports ritual use
H004,EV028,0,Stratigraphic context is not strongly diagnostic for candle use
H005,EV028,0,Stratigraphic context is not strongly diagnostic for textile use
H006,EV028,0,Stratigraphic context is not strongly diagnostic for astronomical use
H007,EV028,+,Military occupation or destruction layer stratigraphy supports military use
H008,EV028,+,Stratigraphic context near hearth or storage supports domestic shrine use
H001,EV029,0,2nd–4th c. date is consistent with peak of Roman construction; not strongly diagnostic
H002,EV029,0,2nd–4th c. date is not strongly diagnostic for measuring use
H003,EV029,0,2nd–4th c. ritual use is not strongly diagnostic
H004,EV029,0,2nd–4th c. date is not strongly diagnostic for candle use
H005,EV029,0,2nd–4th c. date is not strongly diagnostic for textile use
H006,EV029,0,2nd–4th c. date is not strongly diagnostic for astronomical use
H007,EV029,+,2nd–4th c. is the peak of Roman military presence on northern frontier
H008,EV029,0,2nd–4th c. date is not strongly diagnostic for shrine use
H001,EV030,++,Multiple connectors at one site strongly support a structural system using many nodes
H002,EV030,+,Multiple measuring instruments suggest a standardised tool set
H003,EV030,0,Single or multiple ritual objects are equally plausible
H004,EV030,0,Single or multiple candle holders are equally plausible
H005,EV030,+,Multiple textile tools could indicate workshop context
H006,EV030,0,Single astronomical instrument is expected; multiples are unusual
H007,EV030,+,Multiple identical items suggest military standardised equipment
H008,EV030,0,Single shrine component is the most expected situation
H001,EV031,+,Military construction would use structural connectors
H002,EV031,+,Military surveying uses measuring instruments
H003,EV031,0,Military personnel also engaged in ritual; not strongly diagnostic
H004,EV031,0,Candles were used in military contexts; not strongly diagnostic
H005,EV031,0,Soldiers also engaged in textile work; not strongly diagnostic
H006,EV031,+,Military surveying and artillery used astronomical/geometric instruments
H007,EV031,++,Direct military association is a strong predictor for military equipment
H008,EV031,0,Military shrine use is possible but not distinctive
H001,EV032,-,Ritual context is not expected for a utilitarian structural connector
H002,EV032,-,Ritual context is not expected for a utilitarian measuring instrument
H003,EV032,++,Direct ritual association is the strongest predictor for a ritual object
H004,EV032,+,Candles have ritual uses; some association possible
H005,EV032,-,Textile tools are not typically associated with ritual deposits
H006,EV032,0,Astronomical instruments could be used in ritual contexts
H007,EV032,0,Military objects can be ritually deposited
H008,EV032,++,Direct ritual association is the strongest predictor for a shrine component
H001,EV033,++,Rod compatibility is a prerequisite for the structural connector hypothesis
H002,EV033,+,Rods of known diameter could serve as reference objects for measuring
H003,EV033,0,Ritual objects are not required to accept rods
H004,EV033,+,Candles are effectively cylindrical rods; compatibility expected
H005,EV033,+,Knitting needles or rods could be inserted for textile use
H006,EV033,0,Astronomical sighting does not require rod insertion
H007,EV033,0,Military function does not specifically require rod compatibility
H008,EV033,0,Shrine use does not require rod insertion
H001,EV034,++,Rope routing through holes or over knobs is a core prediction of the connector hypothesis
H002,EV034,-,Rope compatibility is not required for measuring function
H003,EV034,0,Ritual objects can be suspended but rope routing is not diagnostic
H004,EV034,-,Rope routing is not expected for candle use
H005,EV034,+,Yarn (a form of rope) routing through holes is expected for textile use
H006,EV034,-,Rope routing is not expected for astronomical use
H007,EV034,0,Rope use with military equipment is possible but not diagnostic
H008,EV034,0,Rope suspension of shrine component is possible but not diagnostic
H001,EV035,++,Structural stability under load is a core requirement of a connector/node
H002,EV035,0,Structural stability is not required for measuring function
H003,EV035,0,Ritual object does not require structural load-bearing capability
H004,EV035,+,A candle stand requires stability to prevent toppling
H005,EV035,0,Textile tool does not require structural load-bearing capability
H006,EV035,0,Astronomical instrument does not require structural stability under load
H007,EV035,0,Military function does not require structural stability under load
H008,EV035,0,Shrine component does not require structural stability under load
H001,EV036,++,Plausible force paths through the dodecahedron are required for a structural node
H002,EV036,0,Load transfer is not relevant to measuring function
H003,EV036,0,Load transfer is not relevant to ritual use
H004,EV036,0,Load transfer not relevant beyond simple candle weight
H005,EV036,0,Load transfer not relevant to textile function
H006,EV036,0,Load transfer not relevant to astronomical use
H007,EV036,0,Load transfer not specifically relevant to military function
H008,EV036,0,Load transfer not relevant to shrine function
H001,EV037,++,Modular assembly of multiple specimens into a larger structure is the core prediction
H002,EV037,0,Assembly into larger structures is not required for measuring function
H003,EV037,0,Assembly is not required for ritual function
H004,EV037,0,Assembly into candle arrays is possible but not predicted
H005,EV037,0,Assembly not required for textile function
H006,EV037,0,Assembly not required for astronomical function
H007,EV037,0,Assembly not required for military function
H008,EV037,0,Assembly not required for shrine function
H001,EV038,-,An isotropic connector works in any orientation; orientation dependence is unexpected
H002,EV038,++,Measuring function requires consistent orientation relative to the object being measured
H003,EV038,0,Ritual use could require specific orientation or be orientation-independent
H004,EV038,++,Candle holder must remain upright; strong orientation dependence expected
H005,EV038,0,Textile tool orientation is flexible
H006,EV038,++,Astronomical sighting requires precise and repeatable orientation
H007,EV038,0,Military use does not specifically require fixed orientation
H008,EV038,+,Shrine components are often displayed in a specific orientation
H001,EV039,+,A modular structural system benefits from standardised components
H002,EV039,++,A measuring instrument must be standardised to produce reproducible results
H003,EV039,0,Ritual objects vary widely; standardisation is not expected
H004,EV039,0,Candle holders are not required to be standardised
H005,EV039,+,Standardised textile tools produce consistent yarn gauges
H006,EV039,++,Astronomical instruments must be standardised to produce reliable results
H007,EV039,+,Military equipment is typically standardised for logistics
H008,EV039,0,Shrine components are not required to be standardised
H001,EV040,-,A universal structural system should show low regional variation
H002,EV040,-,A universal measuring standard should show low regional variation
H003,EV040,+,Regional cult traditions would produce regional variation in ritual objects
H004,EV040,0,Regional variation in candle holders is plausible
H005,EV040,+,Regional textile traditions could produce variation in tool design
H006,EV040,-,Astronomical phenomena are universal; regional variation is unexpected
H007,EV040,+,Regional military traditions could produce variation in equipment design
H008,EV040,+,Regional shrine traditions could produce variation in component design
H009,EV001,+,"A hub must be large enough for several rafter ends to converge without fouling, and small enough to carry on campaign"
H009,EV002,-,Campaign equipment is transported by mule or on the march; a shelter fitting is under constant pressure to be light. Specific expectation: well under 150 g
H009,EV003,++,The hub is the single point through which rafter compression and fabric tension pass. Wall thickness is the whole of its strength. Specific expectation: substantially over 3 mm
H009,EV004,-,"Rafters of a symmetrical tent are cut to one diameter, so their sockets should be interchangeable; systematically varying sockets are not what the function calls for"
H009,EV005,+,"If a central mast passes through the hub, one opposed pair must match its diameter at both ends"
H009,EV006,++,"A pole must seat squarely and withdraw without binding, which requires a clean cylindrical or gently tapered socket"
H009,EV007,+,Chamfered edges ease repeated insertion and stop the rim shaving the pole end
H009,EV008,0,The function does not call for knobs; they are neither required nor excluded by it
H009,EV009,0,Knob placement is not constrained by the function
H009,EV010,++,"A hub that distributes load to rafters at equal angles must itself be geometrically regular, or the tent is pulled out of true"
H009,EV011,++,"A load-bearing fitting needs a hard, strong alloy. A high-lead casting alloy creeps and deforms under sustained load and would be the wrong choice. Specific expectation: high-tin, low-lead bronze"
H009,EV012,+,Sound casting matters where the object is structural
H009,EV013,--,"Voids, seams and miscasts sit directly in the load path of a hub and are a failure risk; they should have been rejected at manufacture"
H009,EV014,0,Surface finish is irrelevant to a fitting hidden at the top of a tent
H009,EV015,++,Equipment in continuous field use is repaired rather than discarded; a campaign fitting should show ancient repairs
H009,EV016,0,Secondary machining is not required by the function
H009,EV017,++,THE CENTRAL PREDICTION OF A MOBILE FITTING. Poles are driven in and withdrawn every time camp is struck. Repeated hardwood-on-bronze contact inside the sockets must leave wear
H009,EV018,++,"Struck, bundled, loaded and unloaded at every move; abrasion in transport is unavoidable"
H009,EV019,++,Guy lines bearing on the body under tension leave grooves or polish
H009,EV020,0,Nothing in the function requires the hub to rotate
H009,EV021,+,Field equipment is dropped and knocked; impact damage is expected
H009,EV022,+,Abrasion follows from packing and transport
H009,EV023,0,A tent hub has no relation to heat or flame
H009,EV024,+,"Contact with leather, tallow or fabric dressing should leave organic traces in the sockets"
H009,EV025,++,"Tents belong to armies and travelling parties. Specific expectation: military camps, marching camps and temporary sites should dominate, and permanent civilian settlement should be marginal"
H009,EV026,--,"Tents accompany the army wherever it goes. Specific expectation: finds across the whole campaigning empire, including Italy, Spain, Africa and the eastern provinces. A distribution confined to a few adjacent north-western provinces would falsify the hypothesis. The form of this argument is not original: PUB-0003, 33 deploys it against a primary military purpose, citing the mobility of Roman soldiers"
H009,EV027,++,"Specific expectation: association with tent pegs, pole shoes, leather, and military or travelling equipment"
H009,EV028,+,Temporary camp surfaces and abandonment layers are where a lost tent fitting would come to rest
H009,EV029,-,The Roman army used leather tents from the late Republic onward. A fitting for them should appear across the imperial period rather than in a narrow late window
H009,EV030,++,"A camp holds hundreds of tents. Multiple hubs at one site are strongly expected, and the total surviving population should be large"
H009,EV031,++,Direct military association is the core contextual claim
H009,EV032,--,"A shelter fitting has no business in temple deposits, graves or rivers; ritual association would count against it"
H009,EV033,++,Rafters or a mast must seat in the openings; rod compatibility is a prerequisite
H009,EV034,++,Guy lines must be attachable to or routable through the fitting
H009,EV035,++,The hub must hold its shape under the combined thrust of the rafters
H009,EV036,++,Force must pass from each rafter through the body to the others; plausible load paths are required
H009,EV037,0,One hub serves one tent; assembly of multiple dodecahedra into a larger structure is not part of this hypothesis. This is what separates H009 from H001
H009,EV038,++,A tent apex has a definite top and bottom and a defined axis; the fitting must be orientable
H009,EV039,++,Issued equipment is standardised so that any rafter fits any hub and damaged parts can be swapped in the field
H009,EV040,--,Army equipment is uniform across the provinces; strong regional variation would indicate local craft production rather than issue
H010,EV001,+,The crown of a hand-carried canopy must be small; anything larger than a fist becomes unwieldy at the top of a shaft
H010,EV002,--,"Mass at the crown sits at the far end of a lever held at arm's length, so every gram is multiplied. A hand-carried shade is under severe pressure to be light. Specific expectation: well under 100 g"
H010,EV003,-,Canopy loads are fabric weight and wind only. Heavy walls buy nothing and cost weight where weight matters most; thin walls are expected
H010,EV004,--,"THE CENTRAL PREDICTION AGAINST THIS HYPOTHESIS. The ribs of a radially symmetrical canopy are identical, so their sockets must be identical. Sockets of systematically differing diameter would mean ribs of differing thickness, and the canopy would pull unevenly and hang askew"
H010,EV005,++,A shaft passing through the crown requires one opposed pair matched to its diameter at both ends
H010,EV006,++,Rib ends must seat cleanly and squarely in their sockets
H010,EV007,++,Ribs bear and flex against the socket rim; a sharp edge would cut into wooden or cane ribs at the point of highest stress
H010,EV008,-,Projections at every vertex sit directly under the canopy fabric drawn over the crown and would chafe and tear it
H010,EV009,0,Knob placement is not constrained by the function
H010,EV010,++,Radial symmetry of the canopy requires a regular hub; an irregular crown produces an irregular canopy
H010,EV011,0,"The fitting is not load-critical, so alloy choice is not diagnostic"
H010,EV012,+,A visible fitting on a status accessory is expected to be well cast
H010,EV013,-,Visible casting flaws on a display object would be rejected
H010,EV014,++,The crown is the most visible part of an object carried above head height; fine finish and decoration are strongly expected
H010,EV015,+,A valued personal possession is repaired rather than discarded
H010,EV016,+,Decorative secondary working is expected on a display fitting
H010,EV017,++,"Ribs seat, bear and, if the shade folds or is dismantled for storage, move within the sockets. Wood against bronze at the load points must leave wear"
H010,EV018,+,"Carried, handled and stored; surface contact is constant"
H010,EV019,+,Stretcher cords or a tie holding the canopy furled bear on the fitting
H010,EV020,+,A shade is turned on its shaft to follow the sun
H010,EV021,0,Impact damage is not specifically predicted
H010,EV022,+,Fabric drawn repeatedly over the crown abrades it
H010,EV023,--,"Nothing in the function of a shade involves heat, flame or wax"
H010,EV024,+,Textile or leather fibres and canopy dressing should remain in the sockets and under the rim
H010,EV025,++,"Specific expectation: urban civilian settlements and elite domestic contexts, where a personal luxury accessory is used and lost. NOT military camps"
H010,EV026,-,"A sunshade is most useful where the sun is strongest, so a sun-shade reading predicts finds concentrated in Italy, Spain, Africa and the eastern provinces. AGAINST THIS: a rain shade predicts the opposite, and the north-western provinces are wet. Set at '-' rather than '--' because the two readings of the same object point in opposite directions and the hypothesis does not choose between them"
H010,EV027,++,"Specific expectation: a shaft or handle, ribs of wood, cane, bone or metal, textile or leather from the canopy, and personal or toilet items"
H010,EV028,0,No particular stratigraphy follows from the function
H010,EV029,0,Shades are attested across the imperial period; no narrow window is predicted
H010,EV030,-,A personal accessory is lost singly; concentrations at one site are not expected
H010,EV031,--,A parasol is the antithesis of field equipment. A substantial share of finds from military camps counts against the hypothesis
H010,EV032,0,"A personal possession placed in a grave is ambiguous between ritual deposition and ordinary furnishing, so this is not diagnostic"
H010,EV033,++,Ribs and a shaft must seat in the openings; rod compatibility is a prerequisite
H010,EV034,+,Stretcher cords or a furling tie must be attachable
H010,EV035,+,The crown must hold its shape under modest canopy and wind load
H010,EV036,+,Rib thrust must pass through the crown to the shaft
H010,EV037,0,One crown serves one canopy; assembling several dodecahedra into a larger structure is no part of this hypothesis
H010,EV038,++,"A canopy crown has an unambiguous top, bottom and axis: the shaft below, the fabric above"
H010,EV039,-,"A bespoke luxury accessory made by individual craftsmen need not conform to any standard, and variation between makers is expected. THIS IS WHERE H010 DIFFERS SHARPLY FROM H009: nothing about a parasol requires issued, interchangeable parts"
H010,EV040,+,Craft production of a fashion accessory varies by region and workshop
H011,EV001,+,Must be held at arm's length and carried on the person; hand-sized
H011,EV002,-,"Carried on the body, probably on a cord, and raised repeatedly; light is better"
H011,EV003,-,"A thick wall turns each aperture into a tube, which restricts the field of view and blurs the coincidence between near and far rims. A thin wall gives the crisp aperture edge the method depends on"
H011,EV004,++,Apertures of differing size ARE the instrument: each pair covers a different range bracket. Uniform holes would make the device useless
H011,EV005,++,"The user sights through a PAIR, so the relationship between the near and far aperture of each pair is the quantity being read. That relationship must be systematic and known across the six pairs, or the brackets do not form a usable series"
H011,EV006,++,A clean circular aperture is required for a crisp sight picture
H011,EV007,--,Chamfers and rounded rims destroy the sharp edge the eye judges coincidence against
H011,EV008,+,"Knobs give a firm grip, keep the object from rolling, and protect the aperture rims on which the calibration depends"
H011,EV009,0,Knob placement is not constrained by the function
H011,EV010,++,"Range is computed from the separation of the two apertures, so the face-to-opposite-face distance is the instrument's baseline. It must be accurate and identical on every axis, or every reading carries an error"
H011,EV011,0,Alloy is not diagnostic for an optical device
H011,EV012,++,A measuring instrument is only as good as its manufacture
H011,EV013,--,Casting flaws on or near the apertures corrupt the calibration directly
H011,EV014,+,Marking is expected on a graduated instrument
H011,EV015,+,A calibrated personal instrument is worth repairing
H011,EV016,++,"Engraved rings around the apertures are exactly what a graduated instrument needs, whether as calibration marks or as an index of which pair is which"
H011,EV017,-,"NOTHING PASSES THROUGH THE HOLES. An optical device predicts no internal wear, and its absence would count in favour of the hypothesis. This is the variable on which H011 differs most sharply from H001, H009 and H010"
H011,EV018,+,Carried and handled constantly in the field
H011,EV019,+,Suspension on a cord or chain at the neck or belt bears on the object
H011,EV020,0,"Selecting a pair means turning the object in the hand, not rotating it on an axis; no rotational wear pattern is predicted"
H011,EV021,+,Field carriage means knocks
H011,EV022,+,Handling and suspension abrade the surface
H011,EV023,--,Nothing in optical ranging involves heat or flame
H011,EV024,--,Any substance in the apertures would obstruct the sight line; the holes must be kept clear
H011,EV025,++,"Specific expectation: military camps, frontier posts and hunting or rural contexts, where archers operate. Urban civilian settlement is not where a ranging aid is used or lost"
H011,EV026,--,"Archers served across the whole empire, and a device that genuinely improved shooting would spread with them. Confinement to a few adjacent north-western provinces would falsify the hypothesis"
H011,EV027,++,"Specific expectation: arrowheads, bow fittings, quiver mounts, or other military or hunting equipment"
H011,EV028,0,No particular stratigraphy follows
H011,EV029,0,Archery spans the imperial period; no narrow window is predicted
H011,EV030,+,A unit of archers implies several devices at one site
H011,EV031,++,Direct military association is the core contextual claim
H011,EV032,--,"A field instrument has no place in temple deposits, graves or rivers"
H011,EV033,0,Nothing is inserted; rod compatibility is neither required nor excluded
H011,EV034,+,A suspension cord is expected
H011,EV035,0,Structural load bearing is irrelevant
H011,EV036,0,Load transfer is irrelevant
H011,EV037,0,Assembly into larger structures is no part of this hypothesis
H011,EV038,++,The device must be held in a known orientation with a known pair aligned to the eye; which pair is in use must be identifiable at a glance
