source_id,authors,year,title,type,doi,url,confidence,notes
PUB-0039,"Kurzweil, Friedrich",1956,Das Pentagondodekaeder des Museum Carnuntinum und seine Zweckbestimmung,Journal,,,C,NOT DIRECTLY CONSULTED - cited in PUB-0019 (ref 14). Carnuntum Jahrbuch 1956: 23-9. Original measurement of the Carnuntum specimen and origin of the surveying-instrument interpretation.
PUB-0040,"Bosse Buchanan, Sandrine (Musee romain d'Avenches)",2012,Measured hole diameters of the Avenches dodecahedron (e-mail communication),Personal communication,,,B,"NOT DIRECTLY CONSULTED - the twelve measured diameters are reproduced in PUB-0019 Appendix B, table B1, which is where this project read them. Museum measurement to 0.01 mm and the most precise hole dataset in the database. Observations cite PUB-0019 at confidence C because they reach this project at one remove; obtaining the measurements directly from the museum would raise them to B."
PUB-0041,"Lamb, Greg",2026,A Functional Reassessment of Roman Dodecahedra as Tools for Forming Standardised Wax Objects,Journal,,https://exarc.net/ark:/88735/10843,C,"The EXARC Journal 2026/2, published 29 May 2026. DIRECTLY CONSULTED. THE FIRST EXPERIMENTAL ARCHAEOLOGY SOURCE IN THIS DATABASE. Proposes that dodecahedra were forming aids for standardised wax elements such as bullae securing cords on documents, and tests it with 3D-printed replicas and a beeswax/pine-resin mixture. IMPORTANT LIMITATION: the trials use replicas, so the paper reports NO observations of wear, residue or any other property of an archaeological specimen. Its claims about what the knobs and apertures are FOR are interpretation, not observation, and are recorded as such. This is also an untested hypothesis in its own right (a wax-forming tool) that is not yet in the hypothesis set."
PUB-0044,Musee du Louvre,2024,Collections en ligne - Dodecaedre (ED 4271; INV 2699; Br 1602),Database,,https://collections.louvre.fr/en/ark:/53355/cl010257522,B,"DIRECTLY CONSULTED, August 2026; full record also held at docs/sources/Louvre_ED_4271.txt. Departement des Antiquites grecques, etrusques et romaines. Full catalogue record with dimensions, construction and decoration. INDEPENDENTLY CORROBORATES the ten-of-twelve decoration rule and the soldered-knob construction, from a source unconnected to PUB-0003, PUB-0010 and PUB-0017."
PUB-0045,Rijksmuseum van Oudheden,2024,"Collectie topstukken - Twaalfhoek (Dodecaeder), Elst",Database,,https://www.rmo.nl/collectie/topstukken/twaalfhoek/,B,"DIRECTLY CONSULTED, August 2026, from a copy supplied by the project owner after the page returned HTTP 403 to automated retrieval; held at docs/sources/Twaalfhoek.txt. UPGRADED FROM C TO B: the earlier record rested on a search-engine extract and is now replaced by the museum text. First Netherlands specimen in the database. The museum cites P van der Heijden, Grens van het Romeinse Rijk. De Limes in Gelderland, 2016, 131."
PUB-0046,Musee d'Archeologie nationale,2023,"L'objet du mois: le dodecaedre boulete, un objet etonnant et mysterieux",Online,,https://musee-archeologienationale.fr/sites/archeonat/files/documents/ODM23Juin03.pdf,C,"DIRECTLY CONSULTED, August 2026; held at docs/sources/ODM23Juin03.pdf. Museum object-of-the-month sheet, a public-outreach document rather than a catalogue entry, hence C. States that the MAN holds FOUR dodecahedra, of which only MAN68333 is named here. An online 3D model is advertised and has not been retrieved."
PUB-0049,RDORP blind protocol runs,2026,A3a blind matrix for H012; A3b independent direction ratings; A5 blind respecification,Personal communication,,,B,"Produced August 2026 by separate Claude Code sessions working only from the prompts at docs/A3a_BLIND_MATRIX_PROMPT.md, docs/A3b_DIRECTION_RATING_PROMPT.md and docs/A5_BLIND_SPECIFICATION_PROMPT.md. Results held at docs/A3a_BLIND_MATRIX_H012.md, docs/A3b_DIRECTION_RATINGS.md and docs/A5_BLIND_SPECIFICATION.md. Each run declared what it had opened. These are METHOD results, not evidence about dodecahedra, and none of them is used as the source of any observation."
PUB-0048,The Hunt Museum / Europeana,2024,"Roman dodecahedron, Hunt Museum Limerick, HCM157 (Europeana 325/HCM157)",Database,,https://www.huntmuseum.com/stories/objects-in-focus/roman-empire-dodecahedron/,C,"PHOTOGRAPH DIRECTLY EXAMINED, August 2026, supplied by the project owner. High-resolution colour image of Guggenberger no 126, catalogued by PUB-0023 with place of discovery 'unknown (not Ireland)', before 1985, type 1a. Ireland was never part of the Roman empire, so the object is a collection acquisition and not an Irish find. No measurements published in the material consulted."
PUB-0047,KIK-IRPA / Europeana,2024,"Musee Curtius, Liege - dodecaedre, inv. I.7108 (Europeana AP_10295723)",Database,,https://www.europeana.eu/item/2048001/AP_10295723,C,"DIRECTLY CONSULTED, August 2026, from a copy supplied by the project owner; held at docs/sources/I_7108.txt. Aggregator record for the specimen already held as RD-0015 from PUB-0011. Adds a date range of AD 301-399 and a material statement of lead and bronze. Graded C because the aggregator record carries no measurements and no findspot beyond the inventory number."
PUB-0043,Diocletian (Edictum de pretiis rerum venalium),301,Edict on Maximum Prices,Archive,,https://en.wikipedia.org/wiki/Edict_on_Maximum_Prices,C,"CONSULTED ONLY THROUGH SECONDARY SUMMARY, not in the original text. Cited for one point of cultural context and for nothing else: the edict of AD 301 lists fourteen types of birrus, one of them the birrus Britannicus, a British woollen hooded cape priced at 6,000 denarii, and hooded garments are a style associated with Gaul and the north-western provinces generally. This establishes that a distinctive, high-value, regionally branded textile industry existed in the same provinces and the same window as the dodecahedra. It says NOTHING about dodecahedra and is never used as evidence about them."
PUB-0042,Norton Disney History and Archaeology Group,2025,The Norton Disney Dodecahedron - excavation account,Online,,https://nortondisneyhag.org/?page_id=2406,B,"DIRECTLY CONSULTED. The excavating group's own account of the 2023 Norton Disney find (RD-0005), including the 2024 re-investigation of the feature. Excavator-grade context information for a specimen previously recorded here only through a newspaper article (PUB-0008) and a synthesis (PUB-0003)."
