rd_id,specimen_name,findspot,country,roman_province,context_category,date_from,date_to,museum_name,museum_city,museum_country,inventory_number,material,manufacturing_method,height_mm,width_mm,max_diameter_mm,weight_g,wall_thickness_mm,knob_diameter_mm,hole_01_mm,hole_02_mm,hole_03_mm,hole_04_mm,hole_05_mm,hole_06_mm,hole_07_mm,hole_08_mm,hole_09_mm,hole_10_mm,hole_11_mm,hole_12_mm,decoration_type,decoration_desc,wear_notes,associated_finds,primary_source_id,confidence,nouwen_number,guggenberger_number,guggenberger_type,notes
RD-0011,Llandow dodecahedron fragment,"Llandow, Vale of Glamorgan",United Kingdom,Britannia,Unknown,43,410,National Museum Wales,Cardiff,United Kingdom,PAS:NMGW-063819; NMWPA:2024.110.5,Copper alloy,Cast,11.6,24.5,,7.73,1.1,6.0,,,,,,,,,,,,,Incised,"Smaller face (9.4mm hole): circumferential groove at aperture edge + two concentric grooves on outer margin; larger face (~22.6mm hole): crudely finished, no decoration",,,PUB-0006,B,,,,"Two opposing faces preserved: 9.4mm and ~22.6mm holes; stark size difference; knop: 6.0 x 5.7mm high, neck 4.5mm; XRF: Cu, Sn, trace Fe, Pb (qualitative); dark blackish-green patina with lighter green patches"
RD-0012,Alveston dodecahedron fragment,"Alveston, South Gloucestershire",United Kingdom,Britannia,Unknown,100,300,,,,PAS:GLO-9EE34F,Copper alloy,Cast,,20.0,,34.51,,,,,,,,,,,,,,,,,,,PUB-0006,B,,,,Object certainty: 'Possibly' dodecahedron; one globular knob + short corner sections; 25 x 20 x 36mm; weight 34.51g; interior concave and crudely finished; exterior relatively smooth
RD-0013,Minting dodecahedron fragments,"Minting, East Lindsey, Lincolnshire",United Kingdom,Britannia,Unknown,43,410,,,,PAS:LIN-F437DA,Copper alloy,Cast,,,,66.42,3.29,13.92,,,,,,,,,,,,,,,Iron corrosion on underside of knobs in fragments 1 and 4; plough damage on all,,PUB-0006,B,,,,"Object certainty: 'Probably' dodecahedron; 4 separate corner fragments; knob diameters: 14.28, 13.92, 13.46, 14.01mm (very consistent); plate thickness: 3.33, 3.55, 3.26, 3.0mm; found nearby LIN-8D3A01; mid-green patina with brown patches"
RD-0014,Potterspury dodecahedron fragment,"Potterspury, West Northamptonshire",United Kingdom,Britannia,Unknown,43,410,,,,PAS:NARC1474,Copper alloy,Cast,,17.74,,4.33,,,,,,,,,,,,,,,Incised,Multiple incised concentric circles on two surviving face portions,,,PUB-0006,B,,,,"Fragment: V-shaped cross-section, one edge + two corners; two small spherical knobs resembling bun feet; 30.14 x 17.74mm; cast-in-one-piece construction noted"
RD-0015,Couthuin/Bassenge dodecahedron,"Couthuin or Bassenge, Liege province",Belgium,Gallia Belgica,Unknown,301,399,Musee Curtius,Liege,Belgium,I.7108,Bronze and lead,Cast,,,44.0,,,,,,,,,,,,,,,,,,,,PUB-0011,B,,,,KIK-IRPA object number 10140871; inv. I.7108; provenance: 'Couthuin ou Bassenge' (Liege province); dated AD 301-399 per KIK-IRPA record; alloy: bronze and lead; CC0 metadata license
RD-0016,British Museum dodecahedron (1878),British Isles (exact location unknown),United Kingdom,,Unknown,,,British Museum,London,United Kingdom,"1878,0311.48",Copper alloy,,,,56.4,39.83,,,,,,,,,,,,,,,,,,,PUB-0012,B,,,,"BM registration 1878,0311.48; object certainty marked '?' in BM catalogue; aperture diameter range 12.45-17.73mm; donated by Sir Augustus Wollaston Franks; previous owners: Rev. Dr W.S. Simpson; Frederick Bousfield; not on display"
RD-0017,Fishguard dodecahedron,"Fishguard, Pembrokeshire",United Kingdom,Britannia,Unknown,,,British Museum,London,United Kingdom,"1924,0411.1",Copper alloy,,,,127.71,553.2,,,,,,,,,,,,,,,,,,,PUB-0012,B,,62,5a,"BM registration 1924,0411.1; among the largest known Roman dodecahedra at 127.71mm; aperture diameter range 27.67-40.55mm; purchased from Thomas James 1924; reference: Roman Britain 1964 Guide p.78, fig.40.5; not on display"
RD-0018,Corbridge dodecahedron,"Corbridge Roman town (Corstopitum), Northumberland",United Kingdom,Britannia,Military,,,Corbridge Roman Museum (English Heritage),Corbridge,United Kingdom,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0013,C,,61,6?,"Displayed at Corbridge Roman Museum; confirmed via English Heritage / Google Arts & Culture; referenced in Allason-Jones & Miket 1984 and multiple PAS records (BH-692011, YORYM-41CD72); no measurements available from accessible online sources"
RD-0019,South Shields (Arbeia) dodecahedron,"South Shields Roman fort (Arbeia), Tyne and Wear",United Kingdom,Britannia,Military,,,Great North Museum,Newcastle upon Tyne,United Kingdom,1923.13,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0009,D,,69,1a,"Accession 1923.13; found at South Shields Roman fort (Arbeia); face width 52mm, face length 48mm per museum website cited in PAS YORYM-41CD72; Allason-Jones & Miket 1984 no. 3.741; military site context confirmed"
RD-0020,Jublains (Noviodunum) dodecahedron,"Jublains (Noviodunum), 'Impasse Romaine', Mayenne - destruction layer F1058 of a small building with cellar on ancient Street 8, at the junction of Cardo A and Decumanus 8, adjoining the thermae",France,Gallia Lugdunensis,Settlement,200,250,Musee archeologique de Jublains,Jublains,France,,Copper alloy (bronze?),"Lost-wax cast, then carefully finished",59.0,,74.0,81.0,,,,,,,,,,,,,,,Concentric circles,Ten faces have a circular opening underlined by concentric circles engraved in the metal; the two remaining faces carry no concentric circles and have oval openings,Intact apart from a barely visible crack on one edge,"Trebuchet (precision balance): complete beam 225 mm weighing 20 g, with two pans of 59x52x16 mm (12 g) and 49x54x17 mm (11 g), from the same destruction layer",PUB-0010,A,,98,1a,"PUB-0010, 269-289. THE ONLY DODECAHEDRON FROM A SEALED, DATED, STRATIFIED CONTEXT. Height 59 mm as it stands but only 48-52 mm face to face; maximum diameter 74 mm; 81 g; twelve pentagonal faces of 21 mm edge; ten circular openings of 10.5-22 mm; two opposed oval openings of 21x26 mm; a small ball of about 5-6 mm at each vertex, soldered to the body. Knob diameter and individual hole diameters left NULL because the report gives ranges, not per-face values; the ranges are recorded as observations. Per-face diameters read off PUB-0010 fig 12 by PUB-0019 are recorded as separate D-grade observations and deliberately NOT merged into this A-grade row."
RD-0021,Arles (thermae) dodecahedron,"Arelate (Arles), thermae, Bouches-du-Rhone",France,Gallia Narbonensis,Civilian,,,Musee departemental de l'Arles antique,Arles,France,X-37086,Bronze,,,,,,,,,,,,,,,,,,,,,,,,PUB-0014,C,,29,1a,Wikidata Q62511455; Commons CC-BY-SA photo by Rama 2019; discovered 1939 at Roman thermae of Arelate (Arles); primary publication: Benoit 1957 OGAM 9: 104-114 (not yet accessed); 3rd century AD; Gallia Narbonensis; PATTERN: second baths-context specimen alongside Jublains (RD-0020)
RD-0022,Mainz 3 dodecahedron,"Unknown (ex Henryk Klunder collection, Mainz)",Unknown,,Unknown,,,Private collection,Winterthur,Switzerland,,Copper alloy,Cast,,,55.0,246.0,1.5,5.0,15.0,17.0,14.0,15.0,,,,,,,,,Ring-and-dot,All faces carry five ring-and-dot motifs; Greiner/Guggenberger type 2a,,,PUB-0003,B,,134,,"PUB-0003, 36 fig 4. Complete. Diameter 5.5 cm face to opposite face without knobs. Eight remaining holes stated only as a range (c 1.0-c 1.25 cm) and therefore left NULL rather than estimated. Only fully measured specimen added in batch 002."
RD-0023,Gelduba (Gellep) grave dodecahedron,"Gelduba (Krefeld-Gellep), west of the Rhine",Germany,Germania inferior,Grave,,,,,,,Copper alloy,,,,,,,,24.0,23.0,,,,,,,,,,,,,,"Bone object, length c 150 mm, diameter c 30 mm, immediately adjacent; richly furnished grave of a woman who died around AD 350",PUB-0003,C,,11,,"PUB-0003, 35-6 and n 33-4. Grave of a wealthy woman, d c AD 350. The adjacent bone object ('rod') was in very poor condition, was not preserved, and is known only from a drawing of the grave. Production holes 2.4 cm and 2.3 cm."
RD-0024,Pfofeld dodecahedron,"Pfofeld, Roman Limes (palisade trench near a watchtower)",Germany,Raetia,Military,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,"Bronze statuette of Mercury as Hermes-Thoth, found in the same area",PUB-0003,C,,20,1a,"PUB-0003, 35 and n 30 (citing Winkelmann 1933, 137-8 tab 16; Guggenberger 1999, 20, 178). Listed by PUB-0003 n 18 among find contexts with plausible sacred connections despite the limes location."
RD-0025,Schwarzenacker dodecahedron,"Schwarzenacker, urban Gallo-Roman cult precinct",Germany,Germania superior,Temple,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0003,C,,21,1a,"PUB-0003, 35 and n 31 (citing Kolling 1993, 124). Found 'near' the sacrificial shafts of an urban Gallo-Roman cult precinct; the source's quotation marks around 'near' are preserved as stated proximity only."
RD-0026,Lydney dodecahedron fragment,"Lydney Park, Gloucestershire (temple complex of Nodens)",United Kingdom,Britannia,Temple,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0003,C,,68,1a,"PUB-0003, 34 and n 28 (citing Wheeler and Wheeler 1932, 86 fig 20). Fragmented. From the site of the temple complex of the local god Nodens, but PUB-0003 states the exact find context is unknown."
RD-0027,Severn estuary (Gloucester) dodecahedron fragment,"Southern side of the Severn estuary, south-west of Gloucester",United Kingdom,Britannia,Hoard,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,"Part of a cache identified as originating from a temple, perhaps the temple of Diana at Gloucester",PUB-0003,C,,122,,"PUB-0003, 34 and n 27 (citing Coombe and Henig 2020, 234, 238 fig 9, 259-60). Fragmented. Temple attribution of the cache is the cited authors' identification, not a stratigraphic observation."
RD-0028,Paris-region dodecahedron,North of Paris (modest Gallo-Roman domestic structure),France,Gallia Lugdunensis,Civilian,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,Bronze statuette of a goddess (Juno?) one metre away,PUB-0003,C,,110,,"PUB-0003, 35 and n 29 (citing Berton 2007). Metal-detector find inside a 'modest Gallo-Roman domestic structure'. Deity identification as Juno is queried in the source and is preserved with its question mark."
RD-0029,Carmarthenshire dodecahedron,Carmarthenshire,United Kingdom,Britannia,Hoard,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0003,C,,60,5a,"PUB-0003, 35 fig 3 (photo, SAL). CONFLICT: PUB-0003 n 16 lists no 60 among finds from cities or other settlements and n 21 lists no 60 among coin or bronze hoards. Both classifications preserved; context_category set to Hoard as the more specific of the two."
RD-0030,Bachem grave dodecahedron,Bachem,Germany,Germania inferior,Grave,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,Richly furnished grave assemblage,PUB-0003,C,,5,,"PUB-0003, 35 and n 32 (citing Barthel 1909, 94; Nouwen 1993, 31-2, 35; Guggenberger 1999, 152, 154, 163-4). One of three dodecahedra from richly furnished graves. PUB-0003 n 13 notes the dating is uncertain and may be 2nd century."
RD-0031,Feldberg dodecahedron,Feldberg Roman fort,Germany,Germania superior,Military,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0003,C,,10,1a,"PUB-0003, 45 and n 103, n 105. Found 1892. Recorded as having traces of yellow wax; PUB-0003 states explicitly that this observation may not be fully reliable (Guggenberger 1999, 61-2, 144, 162). Listed by PUB-0003 n 17 among military-camp finds. Dating uncertain, possibly 2nd century (n 13). ONLY RESIDUE OBSERVATION IN THE CORPUS."
RD-0032,Brigetio dodecahedron,"Brigetio, Pannonia",Hungary,Pannonia superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0003,C,,92,1a,"PUB-0003, 32. Easternmost known find. Recorded here to document the outer limit of the distribution; no measurements available."
RD-0033,Deonica dodecahedron,"Deonica, Moesia superior",Serbia,Moesia superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0003,C,,130,,"PUB-0003, 32 and n 11 (citing Vujovic 2021). Outlying south-eastern find; no measurements available."
RD-0037,Louvre dodecahedron,"France (?), attributed to Gaul (?)",France,,Unknown,,,Musee du Louvre,Paris,France,ED 4271; INV 2699; Br 1602,Bronze,"Hollow cast, with soldered knobs",71.0,82.0,85.0,,,,,,,,,,,,,,,,Concentric circles,Ten faces decorated with concentric circles of varying size; two faces remain smooth. Knobs attached by soldering,Bronze surface shows corrosion,,PUB-0044,B,,,,"Purchased 1825 from the Durand collection. Height 7.1 cm between the smooth faces including the feet, 6.2 cm without; width 8.2 cm; depth 8.5 cm. No weight recorded. Not currently on display. THE MUSEUM'S OWN PHRASE 'height between the smooth faces' implies the two undecorated faces are opposite one another, which corroborates the marked-axis observation independently of PUB-0010."
RD-0038,Elst (Overbetuwe) dodecahedron,"Elst, Overbetuwe, Gelderland",Netherlands,Germania inferior,Unknown,1,300,Rijksmuseum van Oudheden,Leiden,Netherlands,,Bronze,,75.0,,,,,,,,,,,,,,,,,,,,,,PUB-0045,C,,75,2a,"FIRST NETHERLANDS SPECIMEN IN THE DATABASE. Donated November 1876. Height 7.5 cm. Museum dating given as 1-300 AD, which is EARLIER than the corpus window of c AD 200-400 recorded at EV029; museum period ranges are commonly loose and this is recorded as a conflict rather than as a correction. SOURCE CAVEAT: the museum page returned HTTP 403 and these values come from a search-engine extract of it, not from the page itself."
RD-0039,MAN68333 (Reims?) dodecahedron,"Reims (?), Marne",France,Gallia Belgica,Unknown,,,Musee d'Archeologie nationale,Saint-Germain-en-Laye,France,MAN68333,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0046,C,,,,"From the Joseph de Baye collection; findspot given by the museum with a query. NO MEASUREMENTS PUBLISHED in the source consulted. The same source states the MAN holds FOUR dodecahedra in total, so three further specimens exist in that collection and are not yet recorded here. An online 3D model is advertised and would supply geometry if retrieved."
RD-0040,Hunt Museum (Limerick) dodecahedron,Unknown; catalogued as 'not Ireland',Unknown,,Unknown,,,The Hunt Museum,Limerick,Ireland,HCM157,Copper alloy,,,,,,,,,,,,,,,,,,,,Concentric circles,Multiple concentric rings engraved around each aperture; dark green-brown patina over faces and recesses,Bright unpatinated metal exposed on the crown of every visible knob; see the EV041 observations for what this does and does not show,,PUB-0048,C,,126,,"Guggenberger no 126, type 1a. Held in Ireland, which was never Roman, so the object is a collection acquisition; PUB-0023 records the findspot explicitly as 'unknown (not Ireland)'. Acquired before 1985. No measurements available. Added because its photograph is the clearest surface-condition image in the project."
RD-0034,Avenches (Aventicum) dodecahedron,Avenches (Aventicum),Switzerland,Germania superior,Unknown,,,Musee romain d'Avenches,Avenches,Switzerland,,Copper alloy,,,,,,,,26.5,15.4,18.3,13.4,10.4,17.6,24.2,20.15,8.7,14.5,20.6,14.2,,,,,PUB-0019,C,,86,1a,"Measured by Sandrine Bosse Buchanan, Musee romain d'Avenches (PUB-0040), reproduced in PUB-0019 Appendix B tab B1, which is where this project read them. Confidence C rather than B because the values reach us at one remove. Face 1' is recorded as probably elliptic (24.16 and 25.08 mm); the smaller value is stored and the ellipticity is recorded as an observation. Faces 6, 2', 4' and 5' are given as a range with the source's own stated midpoint, which is what is stored; no midpoint has been computed here. PUB-0019 reports an overall diameter of '58.5 cm', which is impossible and inconsistent with the 46.5 mm face-to-face distance given in the same sentence; max_diameter_mm is therefore left NULL rather than corrected."
RD-0035,Vienne (Isere) dodecahedron,Vienne (Isere),France,Gallia Narbonensis,Unknown,,,Private collection,,,,Copper alloy,,,,55.0,,,,,,,,,,,,,,,,Concentric circles,"Number of engraved concentric fillets increases as hole diameter decreases: 4 and 6 fillets around the 14 mm holes, 3 around the 22 mm holes, none around the 23 and 24 mm holes",The two largest opposed openings (23 and 24 mm) have a periphery less regularly cut than the others,,PUB-0017,B,,58,1a,"PUB-0017, 199-200 and figs 3-4. External diameter excluding knobs 55 mm; twelve holes ranging 13.5-24 mm. Individual per-face diameters appear on fig 3, which is not legible in the available scan, so only the values stated in the running text are recorded as observations and the hole columns are left NULL. 'Piece de collection sans contexte archeologique connu' - no archaeological context."
RD-0036,Carnuntum dodecahedron,Carnuntum,Austria,Pannonia superior,Unknown,,,Museum Carnuntinum,Bad Deutsch-Altenburg,Austria,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0019,D,,,,"PUB-0019 tab III, quoting PUB-0038, which reports measurements made by Kurzweil (PUB-0039). Confidence D: the values reach this project at two removes and none of the three states a tolerance. Six opposite-hole pairs are recorded as observations; face-to-face distance given as 40 mm."
RD-0041,Bad Cannstatt dodecahedron,"Bad Cannstatt, Stuttgart",Germany,Germania superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0042,Bonn dodecahedron,Bonn (Bonna),Germany,Germania inferior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0043,Heidesheim dodecahedron,Heidesheim am Rhein,Germany,Germania superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0044,Marnheim dodecahedron,"Marnheim, Donnersbergkreis",Germany,Germania superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0045,Mombach dodecahedron,"Mombach, Mainz",Germany,Germania superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0046,Besancon dodecahedron,Besancon (Vesontio),France,Maxima Sequanorum,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0047,Poitiers dodecahedron,Poitiers (Limonum),France,Aquitania,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0048,La Perouse-Mornay dodecahedron,La Perouse-Mornay,France,,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. PLACENAME NOT RESOLVED. Recorded as PUB-0050 gives it; no French commune of this exact name has been confirmed, so the findspot may be a compound or a misrendering and should be checked against a primary source before it is relied on"
RD-0049,Clement dodecahedron,"'Clement', France",France,,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. PLACENAME NOT RESOLVED. PUB-0050 gives only 'Clement'; possibly Saint-Clement, of which several exist. Not usable for distribution at any finer grain than 'France' until checked"
RD-0050,Conches-dessous dodecahedron,"Conches-dessous, Bern",Switzerland,Germania superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
RD-0051,Radelfingen dodecahedron,"Radelfingen, Bern",Switzerland,Germania superior,Unknown,,,,,,,Copper alloy,,,,,,,,,,,,,,,,,,,,,,,,PUB-0050,D,,,,"PUB-0050 chart 1, which lists 29 findspots with measuring periods and no measurements. FINDSPOT ONLY, AT TWO REMOVES: Wagemans is a self-published secondary source and does not give the original find report. Recorded to improve the distribution evidence, which is where this corpus is weakest; contributes nothing to any geometric or context variable. A primary source is needed before this specimen supports anything else. No further detail is published for this findspot."
