observation_id,rd_id,ev_id,observed_value,confidence,source_id,page,figure,extraction_date,notes
19,RD-0002,EV009,One knob broken off but retained loose; remaining knobs intact,B,PUB-0006,YORYM-41CD72,,2026-08-07,
20,RD-0002,EV012,Interior described as crudely cast; exterior not described as finished,B,PUB-0006,YORYM-41CD72,,2026-08-07,
21,RD-0002,EV016,Some holes surrounded by incised pentagonal line (post-casting decoration),B,PUB-0006,YORYM-41CD72,,2026-08-07,Pentagonal incised line around holes; likely post-casting tool work
22,RD-0002,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,YORYM-41CD72,,2026-08-07,"Findspot: Fridaythorpe, East Riding of Yorkshire"
23,RD-0003,EV002,82 g (fragment weight only; one face + parts of five faces),B,PUB-0006,SUR-729950,,2026-08-07,
24,RD-0003,EV004,Complete face: hole ~15.75mm diameter; edges of three further holes visible but unmeasured,B,PUB-0006,SUR-729950,,2026-08-07,Only one face fully preserved; variation across all 12 faces cannot be assessed
25,RD-0003,EV008,Knob diameter ~13.5mm at each of four surviving corners,B,PUB-0006,SUR-729950,,2026-08-07,
26,RD-0003,EV012,Interior left roughcast; no additional decoration noted,B,PUB-0006,SUR-729950,,2026-08-07,
27,RD-0003,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,SUR-729950,,2026-08-07,"Findspot: Compton, Guildford, Surrey"
28,RD-0004,EV002,46.79 g (fragment weight: 2 complete faces + remains of ~6 faces),B,PUB-0006,HAMP-CE1119,,2026-08-07,
29,RD-0004,EV003,3.7 mm wall thickness,B,PUB-0006,HAMP-CE1119,,2026-08-07,
30,RD-0004,EV004,10-11mm on two complete adjacent faces; 18.3mm on a third adjacent face; variation confirmed,B,PUB-0006,HAMP-CE1119,,2026-08-07,Face-to-corner measurement ~7.5mm (similar on known faces); individual diameters partly recorded
31,RD-0004,EV006,Raised rim around perforation; sunken circular area within pentagonal face; raised ring between hole and edge,B,PUB-0006,HAMP-CE1119,,2026-08-07,
32,RD-0004,EV008,"Knob height ~10-11mm; width 6.5-7.5mm; triangular cross-section at base, expanding to globular",B,PUB-0006,HAMP-CE1119,,2026-08-07,
33,RD-0004,EV018,Metal described as rather pitted and worn; dark to mid-green patina,B,PUB-0006,HAMP-CE1119,,2026-08-07,
34,RD-0004,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,HAMP-CE1119,,2026-08-07,"Findspot: Stockbridge, Test Valley, Hampshire"
35,RD-0005,EV001,Approximately 80mm across (stated as 'about 8cm across'),C,PUB-0008,,,2026-08-07,Approximate figure given in popular article; 3D scan exists at Univ. Lincoln
36,RD-0005,EV002,245 g,C,PUB-0008,,,2026-08-07,
37,RD-0005,EV011,"Cu 75%, Sn 7%, Pb 18% by handheld XRF (analyst: Gerry McDonnell, archaeometallurgist)",C,PUB-0008,,,2026-08-07,Handheld XRF is semi-quantitative; full quantitative analysis planned at Newcastle Univ.
38,RD-0005,EV017,No internal hole wear observed; described as completely undamaged,C,PUB-0008,,,2026-08-07,"Direct quote: 'no evidence of any wear at all' (Richard Parker, NDAG secretary)"
39,RD-0005,EV018,No external wear observed; described as completely undamaged,C,PUB-0008,,,2026-08-07,Same source as EV017
40,RD-0005,EV025,Large pit near Roman villa (excavated 1935); rural settlement context,C,PUB-0008,,,2026-08-07,Pottery from Iron Age to Roman period found across site; Romano-British figurine nearby
41,RD-0006,EV025,"Leopoldwal, Tongeren; context not specified in Wikipedia image caption",E,PUB-0004,,,2026-08-07,Minimum data only from image caption; further source required for all fields
42,RD-0007,EV025,"A field in Aston, Hertfordshire; rural agricultural context (pre-excavation era find)",A,PUB-0007,SAL/02/003/117,,2026-08-07,Only contextual information available from archival record
43,RD-0008,EV002,27.13 g (fragment: one edge + two lugs + four short sections),B,PUB-0006,WILT-37C5E1,,2026-08-07,
44,RD-0008,EV003,Not directly stated; plate visible in fragment,B,PUB-0006,WILT-37C5E1,,2026-08-07,Fragment dimensions: 37.65 x 26.15 x 21.05mm
45,RD-0008,EV004,Edges of three circles visible; described as each face having a hole of different size,B,PUB-0006,WILT-37C5E1,,2026-08-07,Holes not individually measurable from this fragment
46,RD-0008,EV008,Two cylindrical lugs: 13.05mm and 12.40mm diameter,B,PUB-0006,WILT-37C5E1,,2026-08-07,Note: described as cylindrical rather than spherical; two surviving knobs
47,RD-0008,EV012,Interior concave and crudely cast; exterior relatively smooth,B,PUB-0006,WILT-37C5E1,,2026-08-07,
48,RD-0008,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,WILT-37C5E1,,2026-08-07,"Findspot: Near Market Lavington, Wiltshire; date range AD 100-300"
49,RD-0008,EV029,"AD 100-300 (tighter range than most PAS records, which use AD 43-410)",B,PUB-0006,WILT-37C5E1,,2026-08-07,
50,RD-0009,EV002,3.8 g (tiny fragment: one edge + two spherical lugs),B,PUB-0006,YORYM-E841F9,,2026-08-07,
51,RD-0009,EV004,Edges of three circular holes visible; individual diameters not measurable,B,PUB-0006,YORYM-E841F9,,2026-08-07,Fragment too small for diameter measurement
52,RD-0009,EV012,Reverse hollow and undecorated; exterior described as worn,B,PUB-0006,YORYM-E841F9,,2026-08-07,
53,RD-0009,EV014,Double incised border around two of the hole edges; presumably two concentric rings,B,PUB-0006,YORYM-E841F9,,2026-08-07,
54,RD-0009,EV018,Metal described as worn; mid-green patina,B,PUB-0006,YORYM-E841F9,,2026-08-07,
55,RD-0009,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,YORYM-E841F9,,2026-08-07,"Findspot: Stamford Bridge, East Riding of Yorkshire"
56,RD-0010,EV002,1.67 g (very tiny fragment: one corner only),B,PUB-0006,PUBLIC-959804,,2026-08-07,
57,RD-0010,EV014,"Incised grooved decoration on surviving face portions, forming two rings as outer boundary of pentagonal faces",B,PUB-0006,PUBLIC-959804,,2026-08-07,
58,RD-0010,EV025,Cultivated land (disturbed); metal detector; depth 0-10cm; exact Roman context unknown,B,PUB-0006,PUBLIC-959804,,2026-08-07,"Findspot: Yelnow, Bedford; discovery 12 Feb 2011"
59,RD-0011,EV002,"7.73 g (fragment: one edge, two knops, partial faces)",B,PUB-0006,NMGW-063819,,2026-08-07,
60,RD-0011,EV003,1.1 mm (wall thickness of smaller preserved face),B,PUB-0006,NMGW-063819,,2026-08-07,Described as 'very thin'; measured on the smaller-hole face
61,RD-0011,EV004,Two holes partially visible: 9.4mm (with decoration) and approx. 22.6mm (crudely finished); PAS description states perforations are of different sizes across faces,B,PUB-0006,NMGW-063819,,2026-08-07,Only two of twelve face holes partially preserved; full diameter range unknown
62,RD-0011,EV005,Two preserved faces described as 'opposing': smaller hole 9.4mm vs larger hole approx. 22.6mm; opposing faces have markedly different hole diameters,B,PUB-0006,NMGW-063819,,2026-08-07,NOTE: PAS record uses term 'opposing face'; geometric verification not possible from fragment alone; observation should be treated as provisional pending 3D reconstruction
63,RD-0011,EV006,Smaller face (9.4mm): circumferential groove at aperture edge; larger face (~22.6mm): crudely finished aperture,B,PUB-0006,NMGW-063819,,2026-08-07,Different finishing quality between small and large holes on same specimen
64,RD-0011,EV008,Knop diameter 6.0mm x 5.7mm high; neck diameter 4.5mm; integrally cast,B,PUB-0006,NMGW-063819,,2026-08-07,
65,RD-0011,EV011,"XRF results: Cu, Sn, trace Fe, Pb (qualitative only; percentages not reported)",B,PUB-0006,NMGW-063819,,2026-08-07,Semi-quantitative XRF; quantitative analysis not available from PAS record
66,RD-0011,EV012,Interior: reverse concave with rough and unfinished surface; exterior: well-defined knops and incised decoration on smaller face,B,PUB-0006,NMGW-063819,,2026-08-07,
67,RD-0011,EV014,Smaller face: circumferential groove at aperture + two concentric grooves on outer margin; end faces: curving incised grooves; larger (~22.6mm) face: no decoration,B,PUB-0006,NMGW-063819,,2026-08-07,"Decorative treatment varies with hole size: smaller hole decorated, larger hole plain"
68,RD-0011,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,NMGW-063819,,2026-08-07,"Findspot: Llandow, Vale of Glamorgan, Wales"
69,RD-0012,EV002,34.51 g (one corner knob fragment),B,PUB-0006,GLO-9EE34F,,2026-08-07,High weight for small fragment; dense globular knob contributes most of mass
70,RD-0012,EV012,"Interior: concave, crudely finished; exterior: relatively smooth",B,PUB-0006,GLO-9EE34F,,2026-08-07,
71,RD-0012,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,GLO-9EE34F,,2026-08-07,"Findspot: Alveston, South Gloucestershire; date range AD 100-300; object certainty: 'Possibly' dodecahedron"
72,RD-0013,EV002,Total fragment weight 66.42 g (four corner pieces: 20.37 + 17.41 + 12.01 + 16.63 g),B,PUB-0006,LIN-F437DA,,2026-08-07,Four separate fragments probably from same specimen
73,RD-0013,EV003,"Plate thickness: 3.33, 3.55, 3.26, 3.0mm across four fragments (mean ~3.3mm)",B,PUB-0006,LIN-F437DA,,2026-08-07,Consistent wall thickness across all four fragments supports single-specimen origin
74,RD-0013,EV008,"Knob diameters: 14.28, 13.92, 13.46, 14.01mm across four fragments (range 13.46-14.28mm; mean ~13.9mm; very consistent)",B,PUB-0006,LIN-F437DA,,2026-08-07,Consistency of knob diameters across all four fragments strongly supports single-specimen origin; globular form confirmed
75,RD-0013,EV012,Each fragment: interior concave triangular underside; exterior mid-green patina with developed brown patches; plough damage on all,B,PUB-0006,LIN-F437DA,,2026-08-07,
76,RD-0013,EV015,Iron corrosion on underside of knobs in fragments 1 and 4; described as possible repair or iron ore in soil,B,PUB-0006,LIN-F437DA,,2026-08-07,Possible ancient iron repair; ambiguous: could be soil contamination
77,RD-0013,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,LIN-F437DA,,2026-08-07,"Findspot: Minting, East Lindsey, Lincolnshire; nearby find LIN-8D3A01 warrants cross-reference"
78,RD-0014,EV002,4.33 g (V-shaped fragment: one edge + two corners),B,PUB-0006,NARC1474,,2026-08-07,
79,RD-0014,EV008,Two small spherical knobs described as resembling bun feet; one at each end of the surviving edge,B,PUB-0006,NARC1474,,2026-08-07,
80,RD-0014,EV012,Cast-in-one-piece construction explicitly noted in PAS description,B,PUB-0006,NARC1474,,2026-08-07,This is an important manufacturing observation: most specimens have separately soldered knobs; cast-in-one-piece is unusual
81,RD-0014,EV014,Multiple incised concentric circles on two surviving face portions (one set either side of the central ridge),B,PUB-0006,NARC1474,,2026-08-07,
82,RD-0014,EV025,Cultivated land; metal detector find; exact Roman context unknown,B,PUB-0006,NARC1474,,2026-08-07,"Findspot: Potterspury, West Northamptonshire"
83,RD-0015,EV001,Diameter 44mm (overall); among the smaller known specimens,B,PUB-0011,10140871,,2026-08-07,Source: KIK-IRPA BALaT; only dimension given is diameter 4.4cm
84,RD-0015,EV011,Alloy: bronze and lead (plomb); both listed as materials in KIK-IRPA record,B,PUB-0011,10140871,,2026-08-07,Lead content in alloy; quantitative composition not given
85,RD-0015,EV025,"Provenance: Couthuin or Bassenge, Liege province, Belgium; specific context not given in source",B,PUB-0011,10140871,,2026-08-07,Couthuin is in Heron commune; Bassenge is a separate municipality; exact site type unknown
86,RD-0015,EV026,"Roman province Gallia Belgica; Liege province, Belgium",B,PUB-0011,10140871,,2026-08-07,
87,RD-0015,EV029,AD 301-399 (4th century); tighter date range than most specimens,B,PUB-0011,10140871,,2026-08-07,Date from KIK-IRPA record; dating method not specified
88,RD-0016,EV001,Overall diameter 56.40mm,B,PUB-0012,"1878,0311.48",,2026-08-07,
89,RD-0016,EV002,39.83 g,B,PUB-0012,"1878,0311.48",,2026-08-07,
90,RD-0016,EV004,"Aperture diameter range 12.45-17.73mm (BM catalogue lists as range, not per-face)",B,PUB-0012,"1878,0311.48",,2026-08-07,Object certainty marked '?' in BM catalogue; identification may be uncertain
91,RD-0016,EV025,Findspot: British Isles (no specific location recorded in BM catalogue),B,PUB-0012,"1878,0311.48",,2026-08-07,Donated via Sir A.W. Franks; provenance unknown beyond 'British Isles'
92,RD-0017,EV001,Overall diameter 127.71mm; one of the largest Roman dodecahedra known,B,PUB-0012,"1924,0411.1",,2026-08-07,127.71mm exceeds the commonly cited upper limit of 110mm; warrants further verification against primary measurement
93,RD-0017,EV002,553.20 g; among the heaviest known specimens,B,PUB-0012,"1924,0411.1",,2026-08-07,Consistent with large overall diameter; Wikipedia cites max ~1kg for an unstated specimen
94,RD-0017,EV004,"Aperture diameter range 27.67-40.55mm; absolute values proportionally larger than most specimens, consistent with overall large size",B,PUB-0012,"1924,0411.1",,2026-08-07,Range of 12.88mm between smallest and largest hole; comparable percentage variation to smaller specimens
95,RD-0017,EV025,Purchased; no excavation context recorded,B,PUB-0012,"1924,0411.1",,2026-08-07,"Purchased from Thomas James, Fishguard, 1924; exact find circumstances unknown"
96,RD-0017,EV026,"Roman province Britannia; Pembrokeshire, Wales",B,PUB-0012,"1924,0411.1",,2026-08-07,
97,RD-0018,EV025,Roman town and fort (Corstopitum); known military and civilian settlement on Hadrian's Wall,C,PUB-0013,,,2026-08-07,Corbridge was a significant supply base and settlement on Dere Street
98,RD-0018,EV031,Military association confirmed: Corbridge was a Roman fort and supply base,C,PUB-0013,,,2026-08-07,Site has both military and civilian Roman occupation phases
99,RD-0019,EV001,"Face width 52mm, face length 48mm (cited from museum website in PAS YORYM-41CD72)",D,PUB-0009,p.218-219 no.3.741,,2026-08-07,Secondary citation: measurements from museum website as quoted in PAS record; not directly from primary catalogue; confidence D pending direct verification
100,RD-0019,EV025,"Roman fort (Arbeia), South Shields; confirmed military context",B,PUB-0009,p.218-219 no.3.741,,2026-08-07,Arbeia is a well-documented Roman auxiliary fort at mouth of River Tyne
101,RD-0019,EV031,Military association: found at Roman auxiliary fort,B,PUB-0009,p.218-219 no.3.741,,2026-08-07,One of the few British dodecahedra with confirmed military fort provenance
102,RD-0020,EV025,Edge of Roman thermal baths complex at Jublains (Noeodunum); civilian public building context; not military,A,PUB-0010,p.269-289,,2026-08-07,"This is the only Roman dodecahedron from a verified, controlled excavation; thermal baths = public civilian infrastructure, not military or ritual"
103,RD-0020,EV028,Found in stratigraphic context during controlled excavation; specific stratigraphic detail requires access to full paper text,A,PUB-0010,p.269-289,,2026-08-07,Context verified by professional archaeologists (INRAP); paper sub-title emphasises this is the first properly contextualised find
104,RD-0020,EV026,Roman province Gallia Lugdunensis; Jublains is civitas capital of the Aulerci Diablintes,A,PUB-0010,p.269-289,,2026-08-07,
105,RD-0020,EV032,Thermal baths context does not directly support ritual association; baths were civilian social/hygienic infrastructure,A,PUB-0010,p.269-289,,2026-08-07,Context contradicts H003 (ritual) as primary interpretation for this specimen; however one specimen is insufficient to draw corpus conclusions
106,RD-0001,EV033,ASSESSMENT: Cylindrical rods of 13.5mm diameter fit through all 12 holes. Each hole (13.7-20mm) accepts a specific rod diameter. Rod insertion is mechanically feasible.,C,PUB-0006,BH-692011,,2026-08-07,Derived from measured hole diameters 13.7-20mm; Roman wooden dowels/rods in 10-20mm diameter are archaeologically attested
107,RD-0017,EV033,ASSESSMENT: Holes 27.67-40.55mm accommodate substantial rods/poles or large tool handles. Rod insertion feasible; scale consistent with structural use of large timber.,C,PUB-0012,"1924,0411.1",,2026-08-07,Derived from BM catalogue hole range; proportionally similar to smaller specimens
108,RD-0016,EV033,ASSESSMENT: Holes 12.45-17.73mm accommodate rods of 12-17mm diameter. Rod insertion mechanically feasible.,C,PUB-0012,"1878,0311.48",,2026-08-07,Derived from BM catalogue; object certainty '?' noted
109,RD-0011,EV033,ASSESSMENT: Opposing faces have holes of 9.4mm and ~22.6mm. Rods cannot pass through both opposing holes simultaneously unless two different rod sizes are used. This geometry is incompatible with a through-rod passing axially through opposing holes unless the holes are not geometrically opposing.,C,PUB-0006,NMGW-063819,,2026-08-07,"Critical constraint: if 9.4mm and 22.6mm are truly opposing faces, no single rod can pass through both; see EV005 note on geometric verification needed"
110,RD-0001,EV034,ASSESSMENT: Smallest hole 13.7mm allows rope of up to ~12mm diameter to pass through. Knobs (~9.5mm diameter) can serve as anchors or routing guides for rope of 4-8mm diameter. Rope routing through holes and over knobs is geometrically feasible.,C,PUB-0006,BH-692011,,2026-08-07,Derived from hole range 13.7-20mm and knob diameter 9-10mm; Roman cordage in 5-15mm diameter is archaeologically attested
111,RD-0011,EV034,ASSESSMENT: Smaller hole (9.4mm) constrains rope to <8mm diameter. Larger hole (~22.6mm) is permissive. Rope routing is feasible through the larger hole; constrained through the smaller.,C,PUB-0006,NMGW-063819,,2026-08-07,Derived from hole measurements 9.4mm and ~22.6mm
112,RD-0001,EV035,ASSESSMENT: The dodecahedral form with 20 vertex knobs provides stable 3-point resting on any surface. Wall thickness 3mm with bronze alloy provides rigid structural shell. No deformation evidence in any examined specimen. Structurally stable as a free-standing object.,C,PUB-0006,BH-692011,,2026-08-07,"Derived from wall thickness 3mm, bronze alloy, dodecahedral geometry; 3-point stability is inherent to the regular form"
113,RD-0001,EV036,"ASSESSMENT: Six pairs of opposing faces provide 6 potential through-rod axes. A rod inserted through opposing holes of equal diameter transfers axial load. For RD-0001 (holes 13.7-20mm), varying hole sizes mean only same-diameter opposing pairs can carry through-rods; load transfer is directionally selective, not isotropic. Plausible but requires specific rod sizes per axis.",C,PUB-0006,BH-692011,,2026-08-07,Derived from geometry; load capacity depends on rod-hole fit and material properties
114,RD-0001,EV037,"ASSESSMENT (corpus-level): Overall diameters span 44mm to 127.71mm across measured specimens (ratio 2.9:1). A modular structural system requires standardised component sizes. The 3x size range is incompatible with interchangeable modular nodes. Individual specimens can accept rods/ropes, but assembly of multiple dodecahedra into a common structural system is not supported by the current evidence.",C,PUB-0006,BH-692011,,2026-08-07,"Corpus-level derived assessment; based on 5 specimens with reliable size measurements: RD-0015 (44mm), RD-0016 (56.4mm), RD-0001/RD-0002 (~82mm), RD-0017 (127.71mm)"
115,RD-0001,EV039,"ASSESSMENT (corpus-level): No metrological standard detected. Overall diameters: 44, 56.4, ~80, ~82, 127.71mm — no common unit or ratio pattern. Hole diameter ranges: 9.4-40.55mm across specimens with no consistent sizing. Wall thickness: 1.1-3.7mm — wide variation. E013 in evidence register: 'No authenticated inscriptions or numerals are known'. E029: 'No accepted metrological standard has been demonstrated'. Conclusion: absence of standardisation across the corpus.",C,PUB-0006,BH-692011,,2026-08-07,Corpus-level derived from 5 specimens with reliable size data; consistent with evidence register E029
116,RD-0001,EV040,"ASSESSMENT (corpus-level): Current corpus is predominantly British (17/21 specimens). 2 Belgian (Tongeren, Liege) and 2 French (Jublains, Arles) specimens entered. Insufficient continental coverage for systematic regional variation analysis. Pending: data from German, Dutch, Swiss, Luxembourg and Austrian museum collections.",C,PUB-0006,BH-692011,,2026-08-07,Corpus-level observation; geographic bias in current dataset due to PAS coverage; full analysis requires Guggenberger & Nouwen catalogue data
117,RD-0021,EV025,Roman thermae (public baths) at Arelate (Arles); civilian public infrastructure; discovered 1939 during work at or near the thermal baths,C,PUB-0014,Q62511455,,2026-08-07,"PATTERN: second baths-context specimen alongside Jublains (RD-0020); thermal baths = civilian public building, not military or ritual context"
118,RD-0021,EV026,Roman province Gallia Narbonensis; Arelate (Arles) was a major Roman colony,C,PUB-0014,Q62511455,,2026-08-07,
119,RD-0021,EV029,3rd century AD (per Wikidata record),C,PUB-0014,Q62511455,,2026-08-07,Dating method not specified in Wikidata record
120,RD-0022,EV001,Diameter face to opposite face 5.5 cm (55 mm) excluding knobs; complete specimen,B,PUB-0003,36,fig 4,2026-08-07,Measured by the cataloguer; first publication of this specimen
121,RD-0022,EV002,246 g,B,PUB-0003,36,fig 4,2026-08-07,
122,RD-0022,EV003,Wall thickness c 1.5 mm,B,PUB-0003,36,fig 4,2026-08-07,
123,RD-0022,EV004,One pair of holes 15/17 mm and a second pair 14/15 mm; all other holes in a very small range of c 10.0-12.5 mm,B,PUB-0003,36,fig 4,2026-08-07,"Individual diameters of the eight remaining holes not given; range recorded verbatim, values NOT interpolated"
124,RD-0022,EV005,Two recorded pairs of opposite holes: 15/17 mm (difference 2 mm) and 14/15 mm (difference 1 mm),B,PUB-0003,36,fig 4,2026-08-07,Within-pair differences fall inside the corpus range of c 2-4.5 mm reported at p 31 n 1
125,RD-0022,EV008,Knob diameter c 5 mm,B,PUB-0003,36,fig 4,2026-08-07,
126,RD-0022,EV014,All faces carry five ring-and-dot motifs; Greiner/Guggenberger type 2a,B,PUB-0003,36,fig 4,2026-08-07,
127,RD-0022,EV025,"No findspot recorded; known only from the Henryk Klunder collection, Mainz, now in a private collection in Winterthur, Switzerland",B,PUB-0003,"34, 36",fig 4,2026-08-07,Unprovenanced. Contributes measurements but no context evidence
128,RD-0023,EV025,Richly furnished grave of a wealthy woman who died around AD 350,C,PUB-0003,35,,2026-08-07,One of only three dodecahedra from richly furnished graves (with Bassenge and Bachem)
129,RD-0023,EV027,"An object of bone, length c 15 cm and diameter c 3 cm, lay immediately adjacent to the dodecahedron in the grave",C,PUB-0003,35-6,,2026-08-07,"OBSERVATION vs INTERPRETATION: the adjacency and dimensions are the observation. PUB-0003's suggestion of 'a functional connection' and of 'temporary mounting upon a kind of handle' is author interpretation and is recorded in evidence_register, not here. The bone object was in very poor condition, was not preserved, and is known only from a drawing of the grave - so it cannot be re-examined"
130,RD-0023,EV004,Pair of production holes 2.4 cm and 2.3 cm (24 and 23 mm),C,PUB-0003,36,,2026-08-07,
131,RD-0023,EV029,Grave of a woman who died around AD 350,C,PUB-0003,35,,2026-08-07,Dating derives from the grave assemblage as reported
132,RD-0024,EV025,"Found along the Roman Limes, in the same area of a palisade trench near a watchtower",C,PUB-0003,35,,2026-08-07,PUB-0003 n 18 nevertheless lists no 20 among find contexts with plausible sacred connections; both readings preserved
133,RD-0024,EV027,A bronze statuette of Mercury as Hermes-Thoth was found in the same area,C,PUB-0003,35,,2026-08-07,"Ultimate reference: Winkelmann 1933, 137-8 tab 16"
134,RD-0024,EV031,Limes context: palisade trench near a watchtower,C,PUB-0003,35,,2026-08-07,
135,RD-0025,EV025,Found 'near' the sacrificial shafts of an urban Gallo-Roman cult precinct,C,PUB-0003,35,,2026-08-07,"Quotation marks around 'near' are the source's own; exact distance not stated. Ultimate reference: Kolling 1993, 124"
136,RD-0025,EV032,Association with the sacrificial shafts of a cult precinct,C,PUB-0003,35,,2026-08-07,
137,RD-0026,EV025,From the site of the temple complex of the local god Nodens at Lydney; the exact find context is unknown,C,PUB-0003,34,,2026-08-07,"Ultimate reference: Wheeler and Wheeler 1932, 86 fig 20. Site association only - not a stratified context"
138,RD-0026,EV032,"Recovered from a temple site (Nodens), exact context unknown",C,PUB-0003,34,,2026-08-07,
139,RD-0027,EV025,"Part of a cache identified as originating from a temple, perhaps the temple of Diana at Gloucester",C,PUB-0003,34,,2026-08-07,"Ultimate reference: Coombe and Henig 2020. The temple origin is the cited authors' identification of the cache, not a stratigraphic observation of the dodecahedron"
140,RD-0027,EV027,Recovered as part of a cache of objects,C,PUB-0003,34,,2026-08-07,
141,RD-0028,EV025,Found by a metal detectorist in a 'modest Gallo-Roman domestic structure',C,PUB-0003,35,,2026-08-07,Ultimate reference: Berton 2007
142,RD-0028,EV027,A bronze statuette of a goddess (Juno?) lay one metre away,C,PUB-0003,35,,2026-08-07,The identification as Juno is queried in the source and the query is preserved. Distance of one metre is as stated
143,RD-0029,EV025,CONFLICT: listed both among finds from cities or other settlements (n 16) and among coin or bronze hoards (n 21),C,PUB-0003,33,fig 3,2026-08-07,Both classifications preserved per RDORP conflict rule; a hoard deposited within a settlement would satisfy both
144,RD-0030,EV025,One of three dodecahedra from richly furnished graves,C,PUB-0003,35,,2026-08-07,"Ultimate references: Barthel 1909, 94; Nouwen 1993, 31-2, 35"
145,RD-0030,EV029,Dating uncertain; PUB-0003 notes Bachem among specimens that may date from the 2nd century,C,PUB-0003,32,,2026-08-07,PUB-0003 n 13 states explicitly that the dating of this specimen remains uncertain
146,RD-0031,EV024,Recorded as having traces of yellow wax,D,PUB-0003,45,,2026-08-07,"RELIABILITY EXPLICITLY QUESTIONED BY THE SOURCE: PUB-0003 n 103 states 'this observation may not be fully reliable' (Guggenberger 1999, 61-2, 144, 162). Recorded at confidence D for that reason. This is the only residue observation in the corpus, and it is contested"
147,RD-0031,EV025,Feldberg Roman fort; listed among military-camp find contexts,C,PUB-0003,33,,2026-08-07,
148,RD-0031,EV029,"Found 1892; dating uncertain, possibly 2nd century",C,PUB-0003,32,,2026-08-07,PUB-0003 n 13 lists Feldberg among specimens whose dating is uncertain
149,RD-0032,EV026,"Brigetio, Pannonia - the easternmost known findspot",C,PUB-0003,32,,2026-08-07,
150,RD-0033,EV026,"Deonica, Moesia superior - outlying south-eastern findspot",C,PUB-0003,32,,2026-08-07,Ultimate reference: Vujovic 2021
151,RD-0005,EV025,"Discovered on the top of a large pit full of building debris, 700 m east of a villa rustica",C,PUB-0003,34,,2026-08-07,"More precise than the batch-001 record (PUB-0008), which gave only 'large pit near Roman villa'. Both retained; distance now specified. PUB-0003 also reports Hitchens' suggestion that it may have been placed to ritually close the pit and Guggenberger's/Henig's suggestion that it may originate from a shrine - both are INTERPRETATION and are recorded in evidence_register, not as observations"
