ev_id,variable,category,discriminatory_power,corpus_direction,H001,H002,H003,H004,H005,H006,H007,H008,H009,H010,H011,H012,H013,H014
EV020,Rotational wear,Wear,Very High,absent,2.25,2.25,0.0,-2.25,-2.25,0.0,0.0,0.0,0.0,-2.25,0.0,0.0,-4.5,0.0
EV021,Impact damage,Wear,Medium,,,,,,,,,,,,,,,
EV022,Abrasion,Wear,Medium,,,,,,,,,,,,,,,
EV023,Thermal alteration,Wear,Very High,,,,,,,,,,,,,,,
EV024,Residues,Wear,Very High,,,,,,,,,,,,,,,
EV025,Site type,Context,Very High,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4,5.4,-5.4,2.7,2.7,5.4
EV026,Roman province,Context,Medium,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,-0.9,-1.8,0.9,0.9,0.9
EV027,Associated finds,Context,Very High,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-4.5,-4.5,-2.25,-2.25,-4.5
EV028,Stratigraphy,Context,High,ambiguous,,,,,,,,,,,,,,
EV029,Dating,Context,Very High,ambiguous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,0.0,0.0,0.0,0.0,0.0
EV030,Number at site,Context,Medium,,,,,,,,,,,,,,,
EV031,Military association,Context,High,weak_confirmed,0.9,0.9,0.0,0.0,0.0,0.9,1.8,0.0,1.8,-1.8,1.8,0.0,0.0,0.0
EV032,Ritual association,Context,High,weak_confirmed,-0.75,-0.75,1.5,0.75,-0.75,0.0,0.0,1.5,-1.5,0.0,-1.5,-0.75,-0.75,-0.75
EV033,Rod compatibility,Engineering,Very High,confirmed,2.25,1.125,0.0,1.125,1.125,0.0,0.0,0.0,2.25,2.25,0.0,0.0,0.0,0.0
EV034,Rope compatibility,Engineering,Very High,confirmed,2.25,-1.125,0.0,-1.125,1.125,-1.125,0.0,0.0,2.25,1.125,1.125,1.125,2.25,1.125
EV035,Structural stability,Engineering,Very High,weak_confirmed,1.125,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,1.125,0.5625,0.0,0.5625,0.5625,0.5625
EV036,Load transfer,Engineering,High,weak_confirmed,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.375,0.0,0.0,0.0,0.0
EV037,Assembly potential,Engineering,High,absent,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV038,Orientation dependence,Engineering,High,weak_absent,0.75,-1.5,0.0,-1.5,0.0,-1.5,0.0,-0.75,-1.5,-1.5,-1.5,0.0,-0.75,-0.75
EV039,Standardisation,Comparative,High,absent,-1.8,-3.6,0.0,0.0,-1.8,-3.6,-1.8,0.0,-3.6,1.8,-3.6,1.8,1.8,-1.8
EV040,Regional variation,Comparative,High,confirmed,-1.5,-1.5,1.5,0.0,1.5,-1.5,1.5,1.5,-3.0,1.5,-1.5,1.5,1.5,1.5
EV041,Knob wear,Wear,Very High,,,,,,,,,,,,,,,
EV042,Microwear location,Wear,Very High,,,,,,,,,,,,,,,
EV043,Aperture distinguishability,Geometry,Very High,,,,,,,,,,,,,,,
EV044,Interior finish and marking,Manufacturing,High,absent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EV045,Manufacturing difficulty,Manufacturing,Very High,,,,,,,,,,,,,,,
EV046,Marked axis,Geometry,Very High,confirmed,,,,,,,,,,,,,,
EV047,Authenticity and provenance security,Documentation,Very High,ambiguous,,,,,,,,,,,,,,
EV048,Within-type standardisation,Comparative,Very High,,,,,,,,,,,,,,,
