hypothesis_id,ev_id,score,confidence,dp_weight,conf_weight,class_weight,weighted_score,notes
H001,EV040,-1.0,C,2.0,0.75,1.0,-1.5,direction=confirmed; class=Observed; source=PUB-0003 p32
H001,EV044,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0006 pPAS records
H002,EV001,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H002,EV003,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p39
H002,EV004,2.0,B,3.0,0.9,1.0,5.4,direction=confirmed; class=Observed; source=PUB-0003 p31
H002,EV005,-0.5,B,3.0,0.9,1.0,-1.35,direction=weak_absent; class=Observed; source=PUB-0003 p31
H002,EV006,2.0,B,2.0,0.9,1.0,3.6,direction=confirmed; class=Observed; source=PUB-0003 p32
H002,EV008,0.0,B,1.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H002,EV009,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H002,EV010,-2.0,B,2.0,0.9,1.0,-3.6,direction=absent; class=Observed; source=PUB-0010 ppara 48
H002,EV011,0.0,C,2.0,0.75,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H002,EV012,1.0,B,2.0,0.9,1.0,1.8,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H002,EV013,-2.0,B,2.0,0.9,1.0,-3.6,direction=confirmed; class=Observed; source=PUB-0003 p32
H002,EV014,1.0,B,1.0,0.9,1.0,0.9,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H002,EV016,2.0,B,2.0,0.9,1.0,3.6,direction=confirmed; class=Observed; source=PUB-0003 p32
H002,EV017,-1.0,C,3.0,0.75,1.0,-2.25,direction=absent; class=Observed; source=PUB-0003 p45
H002,EV018,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p45
H002,EV019,1.0,C,3.0,0.75,1.0,2.25,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H002,EV020,1.0,C,3.0,0.75,1.0,2.25,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H002,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H002,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H002,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H002,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H002,EV031,0.5,B,2.0,0.9,1.0,0.9,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
H002,EV032,-0.5,C,2.0,0.75,1.0,-0.75,direction=weak_confirmed; class=Observed; source=PUB-0003 p33-5
H002,EV033,1.0,C,3.0,0.75,0.5,1.125,direction=confirmed; class=Derived; source=PUB-0003 p35-6
H002,EV034,-1.0,C,3.0,0.75,0.5,-1.125,direction=confirmed; class=Derived; source=NONE
H002,EV035,0.0,C,3.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H002,EV036,0.0,C,2.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H002,EV037,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p31
H002,EV038,-1.0,C,2.0,0.75,1.0,-1.5,"direction=weak_absent; class=Observed; source=PUB-0003 p37-8, 40"
H002,EV039,-2.0,B,2.0,0.9,1.0,-3.6,"direction=absent; class=Observed; source=PUB-0003 p31, 32, 39-40"
H002,EV040,-1.0,C,2.0,0.75,1.0,-1.5,direction=confirmed; class=Observed; source=PUB-0003 p32
H002,EV044,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0006 pPAS records
H003,EV001,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H003,EV003,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p39
H003,EV004,0.0,B,3.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H003,EV005,0.0,B,3.0,0.9,1.0,0.0,direction=weak_absent; class=Observed; source=PUB-0003 p31
H003,EV006,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H003,EV008,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H003,EV009,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H003,EV010,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0010 ppara 48
H003,EV011,1.0,C,2.0,0.75,1.0,1.5,direction=confirmed; class=Observed; source=PUB-0003 p31
H003,EV012,0.5,B,2.0,0.9,1.0,0.9,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H003,EV013,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H003,EV014,1.0,B,1.0,0.9,1.0,0.9,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H003,EV016,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H003,EV017,1.0,C,3.0,0.75,1.0,2.25,direction=absent; class=Observed; source=PUB-0003 p45
H003,EV018,1.0,B,2.0,0.9,1.0,1.8,direction=absent; class=Observed; source=PUB-0003 p45
H003,EV019,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H003,EV020,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H003,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H003,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H003,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H003,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H003,EV031,0.0,B,2.0,0.9,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
H003,EV032,1.0,C,2.0,0.75,1.0,1.5,direction=weak_confirmed; class=Observed; source=PUB-0003 p33-5
H003,EV033,0.0,C,3.0,0.75,0.5,0.0,direction=confirmed; class=Derived; source=PUB-0003 p35-6
H003,EV034,0.0,C,3.0,0.75,0.5,0.0,direction=confirmed; class=Derived; source=NONE
H003,EV035,0.0,C,3.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H003,EV036,0.0,C,2.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H003,EV037,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p31
H003,EV038,0.0,C,2.0,0.75,1.0,0.0,"direction=weak_absent; class=Observed; source=PUB-0003 p37-8, 40"
H003,EV039,0.0,B,2.0,0.9,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p31, 32, 39-40"
H003,EV040,1.0,C,2.0,0.75,1.0,1.5,direction=confirmed; class=Observed; source=PUB-0003 p32
H003,EV044,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0006 pPAS records
H004,EV001,1.0,B,2.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p31
H004,EV003,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p39
H004,EV004,-1.0,B,3.0,0.9,1.0,-2.7,direction=confirmed; class=Observed; source=PUB-0003 p31
H004,EV005,0.5,B,3.0,0.9,1.0,1.35,direction=weak_absent; class=Observed; source=PUB-0003 p31
H004,EV006,1.0,B,2.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p32
H004,EV008,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H004,EV009,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H004,EV010,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0010 ppara 48
H004,EV011,0.0,C,2.0,0.75,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H004,EV012,0.0,B,2.0,0.9,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H004,EV013,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H004,EV014,0.0,B,1.0,0.9,1.0,0.0,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H004,EV016,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H004,EV017,-1.0,C,3.0,0.75,1.0,-2.25,direction=absent; class=Observed; source=PUB-0003 p45
H004,EV018,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p45
H004,EV019,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H004,EV020,-1.0,C,3.0,0.75,1.0,-2.25,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H004,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H004,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H004,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H004,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H004,EV031,0.0,B,2.0,0.9,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
H004,EV032,0.5,C,2.0,0.75,1.0,0.75,direction=weak_confirmed; class=Observed; source=PUB-0003 p33-5
H004,EV033,1.0,C,3.0,0.75,0.5,1.125,direction=confirmed; class=Derived; source=PUB-0003 p35-6
H004,EV034,-1.0,C,3.0,0.75,0.5,-1.125,direction=confirmed; class=Derived; source=NONE
H004,EV035,0.5,C,3.0,0.75,0.5,0.5625,direction=weak_confirmed; class=Derived; source=NONE
H004,EV036,0.0,C,2.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H004,EV037,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p31
H004,EV038,-1.0,C,2.0,0.75,1.0,-1.5,"direction=weak_absent; class=Observed; source=PUB-0003 p37-8, 40"
H004,EV039,0.0,B,2.0,0.9,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p31, 32, 39-40"
H004,EV040,0.0,C,2.0,0.75,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H004,EV044,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0006 pPAS records
H005,EV001,1.0,B,2.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p31
H005,EV003,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p39
H005,EV004,2.0,B,3.0,0.9,1.0,5.4,direction=confirmed; class=Observed; source=PUB-0003 p31
H005,EV005,-0.5,B,3.0,0.9,1.0,-1.35,direction=weak_absent; class=Observed; source=PUB-0003 p31
H005,EV006,1.0,B,2.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p32
H005,EV008,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H005,EV009,0.0,B,1.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H005,EV010,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0010 ppara 48
H005,EV011,0.0,C,2.0,0.75,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H005,EV012,0.0,B,2.0,0.9,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H005,EV013,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H005,EV014,1.0,B,1.0,0.9,1.0,0.9,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H005,EV016,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H005,EV017,-2.0,C,3.0,0.75,1.0,-4.5,direction=absent; class=Observed; source=PUB-0003 p45
H005,EV018,-1.0,B,2.0,0.9,1.0,-1.8,direction=absent; class=Observed; source=PUB-0003 p45
H005,EV019,-1.0,C,3.0,0.75,1.0,-2.25,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H005,EV020,-1.0,C,3.0,0.75,1.0,-2.25,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H005,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H005,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H005,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H005,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H005,EV031,0.0,B,2.0,0.9,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
H005,EV032,-0.5,C,2.0,0.75,1.0,-0.75,direction=weak_confirmed; class=Observed; source=PUB-0003 p33-5
H005,EV033,1.0,C,3.0,0.75,0.5,1.125,direction=confirmed; class=Derived; source=PUB-0003 p35-6
H005,EV034,1.0,C,3.0,0.75,0.5,1.125,direction=confirmed; class=Derived; source=NONE
H005,EV035,0.0,C,3.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H005,EV036,0.0,C,2.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H005,EV037,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p31
H005,EV038,0.0,C,2.0,0.75,1.0,0.0,"direction=weak_absent; class=Observed; source=PUB-0003 p37-8, 40"
H005,EV039,-1.0,B,2.0,0.9,1.0,-1.8,"direction=absent; class=Observed; source=PUB-0003 p31, 32, 39-40"
H005,EV040,1.0,C,2.0,0.75,1.0,1.5,direction=confirmed; class=Observed; source=PUB-0003 p32
H005,EV044,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0006 pPAS records
H006,EV001,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H006,EV003,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p39
H006,EV004,1.0,B,3.0,0.9,1.0,2.7,direction=confirmed; class=Observed; source=PUB-0003 p31
H006,EV005,-0.5,B,3.0,0.9,1.0,-1.35,direction=weak_absent; class=Observed; source=PUB-0003 p31
H006,EV006,1.0,B,2.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p32
H006,EV008,0.0,B,1.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H006,EV009,2.0,B,1.0,0.9,1.0,1.8,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H006,EV010,-2.0,B,2.0,0.9,1.0,-3.6,direction=absent; class=Observed; source=PUB-0010 ppara 48
H006,EV011,0.0,C,2.0,0.75,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H006,EV012,1.0,B,2.0,0.9,1.0,1.8,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H006,EV013,-2.0,B,2.0,0.9,1.0,-3.6,direction=confirmed; class=Observed; source=PUB-0003 p32
H006,EV014,1.0,B,1.0,0.9,1.0,0.9,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H006,EV016,2.0,B,2.0,0.9,1.0,3.6,direction=confirmed; class=Observed; source=PUB-0003 p32
H006,EV017,0.0,C,3.0,0.75,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p45
H006,EV018,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p45
H006,EV019,1.0,C,3.0,0.75,1.0,2.25,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H006,EV020,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H006,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H006,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H006,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H006,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H006,EV031,0.5,B,2.0,0.9,1.0,0.9,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
H006,EV032,0.0,C,2.0,0.75,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p33-5
H006,EV033,0.0,C,3.0,0.75,0.5,0.0,direction=confirmed; class=Derived; source=PUB-0003 p35-6
H006,EV034,-1.0,C,3.0,0.75,0.5,-1.125,direction=confirmed; class=Derived; source=NONE
H006,EV035,0.0,C,3.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H006,EV036,0.0,C,2.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H006,EV037,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p31
H006,EV038,-1.0,C,2.0,0.75,1.0,-1.5,"direction=weak_absent; class=Observed; source=PUB-0003 p37-8, 40"
H006,EV039,-2.0,B,2.0,0.9,1.0,-3.6,"direction=absent; class=Observed; source=PUB-0003 p31, 32, 39-40"
H006,EV040,-1.0,C,2.0,0.75,1.0,-1.5,direction=confirmed; class=Observed; source=PUB-0003 p32
H006,EV044,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0006 pPAS records
H007,EV001,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H007,EV003,-1.0,B,2.0,0.9,1.0,-1.8,direction=absent; class=Observed; source=PUB-0003 p39
H007,EV004,0.0,B,3.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H007,EV005,0.0,B,3.0,0.9,1.0,0.0,direction=weak_absent; class=Observed; source=PUB-0003 p31
H007,EV006,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H007,EV008,0.0,B,1.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H007,EV009,0.0,B,1.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H007,EV010,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0010 ppara 48
H007,EV011,1.0,C,2.0,0.75,1.0,1.5,direction=confirmed; class=Observed; source=PUB-0003 p31
H007,EV012,0.5,B,2.0,0.9,1.0,0.9,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H007,EV013,-1.0,B,2.0,0.9,1.0,-1.8,direction=confirmed; class=Observed; source=PUB-0003 p32
H007,EV014,0.0,B,1.0,0.9,1.0,0.0,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H007,EV016,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H007,EV017,0.0,C,3.0,0.75,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p45
H007,EV018,-1.0,B,2.0,0.9,1.0,-1.8,direction=absent; class=Observed; source=PUB-0003 p45
H007,EV019,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H007,EV020,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H007,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H007,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H007,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H007,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H007,EV031,1.0,B,2.0,0.9,1.0,1.8,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
H007,EV032,0.0,C,2.0,0.75,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p33-5
H007,EV033,0.0,C,3.0,0.75,0.5,0.0,direction=confirmed; class=Derived; source=PUB-0003 p35-6
H007,EV034,0.0,C,3.0,0.75,0.5,0.0,direction=confirmed; class=Derived; source=NONE
H007,EV035,0.0,C,3.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H007,EV036,0.0,C,2.0,0.75,0.5,0.0,direction=weak_confirmed; class=Derived; source=NONE
H007,EV037,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p31
H007,EV038,0.0,C,2.0,0.75,1.0,0.0,"direction=weak_absent; class=Observed; source=PUB-0003 p37-8, 40"
H007,EV039,-1.0,B,2.0,0.9,1.0,-1.8,"direction=absent; class=Observed; source=PUB-0003 p31, 32, 39-40"
H007,EV040,1.0,C,2.0,0.75,1.0,1.5,direction=confirmed; class=Observed; source=PUB-0003 p32
H007,EV044,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0006 pPAS records
H008,EV001,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H008,EV003,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0003 p39
H008,EV004,0.0,B,3.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p31
H008,EV005,0.0,B,3.0,0.9,1.0,0.0,direction=weak_absent; class=Observed; source=PUB-0003 p31
H008,EV006,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H008,EV008,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H008,EV009,1.0,B,1.0,0.9,1.0,0.9,direction=confirmed; class=Observed; source=PUB-0003 p39-40
H008,EV010,0.0,B,2.0,0.9,1.0,0.0,direction=absent; class=Observed; source=PUB-0010 ppara 48
H008,EV011,1.0,C,2.0,0.75,1.0,1.5,direction=confirmed; class=Observed; source=PUB-0003 p31
H008,EV012,0.5,B,2.0,0.9,1.0,0.9,direction=weak_confirmed; class=Observed; source=PUB-0003 p32
H008,EV013,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H008,EV014,1.0,B,1.0,0.9,1.0,0.9,"direction=confirmed; class=Observed; source=PUB-0003 p32, 36"
H008,EV016,0.0,B,2.0,0.9,1.0,0.0,direction=confirmed; class=Observed; source=PUB-0003 p32
H008,EV017,1.0,C,3.0,0.75,1.0,2.25,direction=absent; class=Observed; source=PUB-0003 p45
H008,EV018,1.0,B,2.0,0.9,1.0,1.8,direction=absent; class=Observed; source=PUB-0003 p45
H008,EV019,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H008,EV020,0.0,C,3.0,0.75,1.0,0.0,"direction=absent; class=Observed; source=PUB-0003 p45, 52"
H008,EV025,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p33
H008,EV026,0.0,B,1.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H008,EV027,0.0,C,3.0,0.75,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p34-6
H008,EV029,0.0,B,3.0,0.9,1.0,0.0,direction=ambiguous; class=Observed; source=PUB-0003 p32
H008,EV031,0.0,B,2.0,0.9,1.0,0.0,direction=weak_confirmed; class=Observed; source=PUB-0003 p33
